,n,k,norm_gradient,time,final_score,converges,iterations,conv,path
0,2,4,8.078035086005973e-09,0.004811525344848633,7.377087715843668,True,7,1.6071060161728574,"[[-1.         -1.        ]
 [-0.62417521 -0.78124635]
 [-0.5498038   1.71878139]
 [-0.20138643  1.10985791]
 [-0.18378955  0.98474796]
 [-0.17304768  0.9906477 ]
 [-0.17196257  0.99071319]
 [-0.17195189  0.9907326 ]]"
1,2,8,4.96151145079594e-09,0.004786968231201172,7.37708771584367,True,7,1.6133072260281798,"[[-1.         -1.        ]
 [-0.6242192  -0.78127195]
 [-0.54990406  1.71924232]
 [-0.20144812  1.10989463]
 [-0.18382208  0.98474438]
 [-0.17305459  0.99064702]
 [-0.17196284  0.99071339]
 [-0.17195189  0.9907326 ]]"
2,2,12,1.4093033170925588e-07,0.0048220157623291016,7.377087715843672,True,7,1.617063172509262,"[[-1.         -1.        ]
 [-0.62421479 -0.78126939]
 [-0.54998325  1.71823721]
 [-0.2011843   1.11010589]
 [-0.18366465  0.98474548]
 [-0.17303055  0.99064874]
 [-0.17196206  0.99071422]
 [-0.17195186  0.99073261]]"
3,1000,4,1.4356264034764833e-07,0.024664640426635742,7.086281647937154,True,13,1.3425248865172086,"[np.float64(14.625533841684918), np.float64(16.178370984551815), np.float64(44.75274350872671), np.float64(7.324581702952613), np.float64(3.871354094196332), np.float64(1.072605774214762), np.float64(0.07686216177139864), np.float64(0.07398824299002338), np.float64(0.0011640692644407009), np.float64(0.009049349194863618), np.float64(0.0004381612007463565), np.float64(6.759513013653935e-06), np.float64(2.4982633799305276e-08)]"
4,1000,8,1.3713879927690469e-07,0.024686336517333984,7.086281647937155,True,13,1.3466443636265197,"[np.float64(14.624176295885617), np.float64(16.177059342021316), np.float64(44.734989299101045), np.float64(7.318088513141238), np.float64(3.8636662399938055), np.float64(1.067359506434066), np.float64(0.07590743965744001), np.float64(0.07345027242754658), np.float64(0.0011645954264537625), np.float64(0.009108207466020752), np.float64(0.00044512800069136237), np.float64(6.853536065499645e-06), np.float64(2.4832888758114322e-08)]"
5,1000,12,2.921437163317694e-08,0.024971961975097656,7.0862816479371515,True,13,0.5601305613304833,"[np.float64(14.626094599765251), np.float64(16.170844196068376), np.float64(43.64212466614214), np.float64(6.888454301112115), np.float64(3.450431249808858), np.float64(0.8422431848672081), np.float64(0.04715086898537993), np.float64(0.04680005727785275), np.float64(0.01307735879333539), np.float64(0.0021879686745125593), np.float64(0.0016579463827234033), np.float64(1.616462416477791e-05), np.float64(1.2082041546989044e-06)]"
6,10000,4,2.0262537420167342e-07,0.09435868263244629,7.086281647937156,True,13,-15.112602554676755,"[np.float64(46.28176060163598), np.float64(51.17758841594068), np.float64(141.42926168610904), np.float64(23.140892074887997), np.float64(12.1785957785661), np.float64(3.3490476070442323), np.float64(0.22998221780143108), np.float64(0.07284592207065221), np.float64(0.007377572089078981), np.float64(0.0036533896407241456), np.float64(4.578010116936738e-05), np.float64(8.03421862188406e-05), np.float64(1.6346888883074406e-08)]"
7,10000,8,2.451339333994465e-07,0.1052553653717041,7.086281647937157,True,13,-14.363397729523122,"[np.float64(46.27746506340973), np.float64(51.173442336415086), np.float64(141.3737390339241), np.float64(23.120512711792884), np.float64(12.154435429586822), np.float64(3.33265220572483), np.float64(0.22702876488938306), np.float64(0.07232085635352062), np.float64(0.0074650759574742855), np.float64(0.003634947411837706), np.float64(4.1906549042976626e-05), np.float64(7.53939245509607e-05), np.float64(1.6363937570128483e-08)]"
8,10000,12,2.1654112166215366e-08,0.104736328125,7.086281647937152,True,14,1.4071067996583295,"[np.float64(46.28354084445057), np.float64(51.15669675275827), np.float64(88.54692174315467), np.float64(19.320158581682076), np.float64(4.829347483017964), np.float64(0.4917700633369679), np.float64(0.25262992541484486), np.float64(0.01719985102212355), np.float64(0.0563727590720454), np.float64(0.0217163577228945), np.float64(0.013720912195488053), np.float64(0.0009166476939889193), np.float64(6.044340849680929e-06), np.float64(5.1600647735406226e-09)]"
9,100000,4,8.046332490103504e-07,1.1380763053894043,7.086281647937156,True,12,1.6483719808520163,"[np.float64(146.36581858534055), np.float64(161.84315141539597), np.float64(447.2097573401422), np.float64(73.17112444285843), np.float64(38.49192080494274), np.float64(10.577108394596662), np.float64(0.7231719993834348), np.float64(0.0727196493158343), np.float64(0.0013486409539665816), np.float64(0.009213423239143774), np.float64(0.00045232865826115397), np.float64(3.146224534624972e-06)]"
10,100000,8,1.5678252956126937e-08,1.2204995155334473,7.086281647937152,True,13,1.2324246987015388,"[np.float64(146.35223407823383), np.float64(161.8300384167086), np.float64(447.0312551374616), np.float64(73.10553558036611), np.float64(38.4143990859022), np.float64(10.52465443589542), np.float64(0.7137598238670324), np.float64(0.07217605640928584), np.float64(0.0013386251717526039), np.float64(0.00927338377371115), np.float64(0.00045916284689771026), np.float64(2.7989393061654764e-06), np.float64(5.2144166504618845e-09)]"
11,100000,12,4.504276856654336e-08,1.1917011737823486,7.086281647937154,True,13,1.375332045103316,"[np.float64(146.37145040894993), np.float64(161.75732368806385), np.float64(283.8545758517025), np.float64(54.04467857099541), np.float64(12.54764181464265), np.float64(1.0255259482208396), np.float64(0.25536584264769463), np.float64(0.054890290285454314), np.float64(0.02019904270817523), np.float64(0.008974788446523536), np.float64(0.006810884983213531), np.float64(0.0002308128904626544), np.float64(2.1958348729935503e-06)]"
