,n,k,norm_gradient,time,final_score,iterations,converges,conv,paths
0,2,4,3.28785234502471e-08,0.006568288803100586,5.901670172674936,8.8,True,1.9115552394222104,"[array([[-1.5996328 , -0.76022539],
       [-1.21111384, -0.69367895],
       [-0.85795727, -0.56878299],
       [-0.7374798 ,  0.98835604],
       [-0.50011672,  0.99702601],
       [-0.3271596 ,  0.99453677],
       [-0.23086949,  0.98608337],
       [-0.18746935,  0.98861204],
       [-0.17432484,  0.99181242],
       [-0.17199899,  0.99072835],
       [-0.1719519 ,  0.9907326 ]]), array([[-1.02365334, -0.29381177],
       [-0.69367029, -0.13411287],
       [-0.53127844,  0.70220947],
       [-0.32417456,  0.83241362],
       [-0.23210531,  0.97625025],
       [-0.19110979,  0.99395963],
       [-0.17441269,  0.99053959],
       [-0.17200455,  0.99069231],
       [-0.17195191,  0.9907326 ]]), array([[-0.69052661, -0.05081016],
       [-0.35899081,  0.35147342],
       [-0.28060132,  0.85494471],
       [-0.2255056 ,  0.98578186],
       [-0.1854045 ,  0.98941273],
       [-0.17334538,  0.99090445],
       [-0.17196885,  0.99073131],
       [-0.17195189,  0.9907326 ]]), array([[-1.57400677, -0.19162456],
       [-1.20791117, -0.14035123],
       [-0.88204691, -0.05065868],
       [-0.56499612,  0.14242681],
       [-0.28899745,  0.63140958],
       [-0.24881932,  0.94089464],
       [-0.20793259,  0.9943788 ],
       [-0.18408842,  0.98471033],
       [-0.17309794,  0.99064409],
       [-0.17196363,  0.99071154],
       [-0.17195189,  0.9907326 ]]), array([[-0.98119634, -1.43899706],
       [-0.60987801, -1.2531587 ],
       [ 0.67718921,  2.13648642],
       [ 1.16927016,  1.51185128],
       [ 1.01081121,  1.43234654],
       [ 1.02823162,  0.98349576],
       [ 1.00158026,  0.98717748],
       [ 1.00003214,  0.999937  ],
       [ 1.00000001,  1.        ],
       [ 1.        ,  1.        ]])]"
1,2,8,7.403933961076112e-08,0.0062139034271240234,5.901670172674936,8.6,True,2.68634645825743,"[array([[-1.5996328 , -0.76022539],
       [-1.21118224, -0.69369066],
       [-0.85807651, -0.56883137],
       [-0.73762854,  0.98854287],
       [-0.50026819,  0.99718366],
       [-0.32726219,  0.99463658],
       [-0.23092235,  0.98610074],
       [-0.18749518,  0.98859471],
       [-0.17435166,  0.99183122],
       [-0.17200038,  0.99072827],
       [-0.17195191,  0.9907326 ]]), array([[-1.02365334, -0.29381177],
       [-0.69371526, -0.13413463],
       [-0.53133799,  0.70220331],
       [-0.32423613,  0.83236814],
       [-0.23212123,  0.97621977],
       [-0.19113409,  0.99396677],
       [-0.17442028,  0.99053918],
       [-0.17200527,  0.9906917 ],
       [-0.17195192,  0.9907326 ]]), array([[-0.69052661, -0.05081016],
       [-0.35901406,  0.35144521],
       [-0.28060439,  0.85492702],
       [-0.2255105 ,  0.98577374],
       [-0.18541101,  0.98941799],
       [-0.17334512,  0.9908937 ],
       [-0.17196907,  0.99073131],
       [-0.17195189,  0.9907326 ]]), array([[-1.57400677, -0.19162456],
       [-1.20797807, -0.1403606 ],
       [-0.88216221, -0.05069438],
       [-0.56515307,  0.1423019 ],
       [-0.28906522,  0.63110794],
       [-0.24886024,  0.9408077 ],
       [-0.2079623 ,  0.99436959],
       [-0.18408792,  0.98471145],
       [-0.17309936,  0.99064381],
       [-0.17196379,  0.99071192],
       [-0.17195189,  0.9907326 ]]), array([[-0.98119634, -1.43899706],
       [-0.60991897, -1.2531792 ],
       [ 0.67624539,  2.13308429],
       [ 1.17829221,  1.5040994 ],
       [ 1.01762325,  1.42823639],
       [ 1.02739334,  0.987429  ],
       [ 1.0016111 ,  0.99018661],
       [ 1.00002177,  0.99995824],
       [ 1.        ,  1.        ]])]"
2,2,12,2.656915157537829e-07,0.0062653541564941405,5.901670172674943,8.6,True,2.448930907061457,"[array([[-1.5996328 , -0.76022539],
       [-1.2111697 , -0.69368851],
       [-0.85805497, -0.56882261],
       [-0.73760247,  0.98834592],
       [-0.50027499,  0.99701866],
       [-0.32727459,  0.99454012],
       [-0.23093691,  0.98608882],
       [-0.18749527,  0.98860167],
       [-0.17434081,  0.99182219],
       [-0.17200094,  0.99072868],
       [-0.17195191,  0.99073264]]), array([[-1.02365334, -0.29381177],
       [-0.69368581, -0.13412038],
       [-0.53131758,  0.70131728],
       [-0.32408123,  0.83201251],
       [-0.23213246,  0.97623817],
       [-0.19112683,  0.99395816],
       [-0.17442598,  0.99054999],
       [-0.17200844,  0.99066457],
       [-0.17195199,  0.99073256]]), array([[-0.69052661, -0.05081016],
       [-0.35911176,  0.35132667],
       [-0.28060833,  0.85490999],
       [-0.22551873,  0.98575781],
       [-0.18540801,  0.98942986],
       [-0.17333882,  0.99087303],
       [-0.17196869,  0.99073104],
       [-0.17195189,  0.9907326 ]]), array([[-1.57400677, -0.19162456],
       [-1.20798959, -0.14036221],
       [-0.88216096, -0.05069472],
       [-0.56500331,  0.14239279],
       [-0.28896729,  0.63144477],
       [-0.24881811,  0.94084521],
       [-0.20794868,  0.99437002],
       [-0.18407521,  0.98470822],
       [-0.17309014,  0.99064958],
       [-0.17196352,  0.99073132],
       [-0.17195189,  0.9907326 ]]), array([[-0.98119634, -1.43899706],
       [-0.60994583, -1.25319264],
       [ 0.67515563,  2.12961507],
       [ 1.18807636,  1.49588516],
       [ 1.02494164,  1.4236663 ],
       [ 1.02676484,  0.99145982],
       [ 1.00163928,  0.99327474],
       [ 1.00001422,  0.99997526],
       [ 1.        ,  1.        ]])]"
3,1000,4,4.0553433026145545e-07,0.02708263397216797,7.086281647937154,13.6,True,1.465731385534251,"[[np.float64(8.880001884048056), np.float64(11.227897346746458), np.float64(14.373214568877396), np.float64(33.839063739270046), np.float64(0.8025486036572813), np.float64(0.64649736650032), np.float64(0.11063913216793834), np.float64(0.22391989513001065), np.float64(0.013390456436434328), np.float64(0.050242145499728295), np.float64(0.01839817328354467), np.float64(0.012439453887353277), np.float64(0.0007709242254385248), np.float64(3.88621362758668e-06), np.float64(1.7991778955527854e-08)], [np.float64(8.852775395643167), np.float64(11.182949313264507), np.float64(14.285968585560008), np.float64(33.29747456571156), np.float64(1.2089199313715029), np.float64(0.16642429411675114), np.float64(0.1902059203289493), np.float64(0.027146367470989113), np.float64(0.046544128243263136), np.float64(0.0264012921563031), np.float64(0.006205444588354981), np.float64(0.005186453564930654), np.float64(0.0001427343223692506), np.float64(2.271402385966262e-06)], [np.float64(8.889442065789522), np.float64(11.18783758978456), np.float64(14.244109205761504), np.float64(32.1377045483152), np.float64(3.011801407402637), np.float64(0.48710787927688526), np.float64(0.20822243030445428), np.float64(0.030063227084133008), np.float64(0.060862362246604414), np.float64(0.03349209395620662), np.float64(0.008701511925131139), np.float64(0.007047467272121419), np.float64(0.0002577846211010148), np.float64(1.8766645041435526e-06)], [np.float64(8.985802053445234), np.float64(11.211630245453332), np.float64(14.229179481301596), np.float64(32.36959482673447), np.float64(2.670510764945249), np.float64(0.4454662248512101), np.float64(0.44565120456479934), np.float64(0.1122875421771667), np.float64(0.0329585299679621), np.float64(0.008499087795775358), np.float64(0.0003289284388780522), np.float64(8.380452218553717e-06), np.float64(9.79784193493438e-09)], [np.float64(8.613180834708801), np.float64(11.141411266443315), np.float64(14.485696366227595), np.float64(36.06940347813493), np.float64(2.14543751789159), np.float64(0.41872478441366195), np.float64(0.16833223163234956), np.float64(0.016183545653583643), np.float64(0.024433598959710968), np.float64(0.013884880862693837), np.float64(0.001026482750033209), np.float64(8.679275570528435e-06)]]"
4,1000,8,8.658567782276401e-08,0.028540945053100585,7.086281647937153,14.0,True,1.5711924997158735,"[[np.float64(8.8786448119449), np.float64(11.226199215656013), np.float64(14.371031534620949), np.float64(33.81782734487142), np.float64(0.8169446346893723), np.float64(0.6456677374283339), np.float64(0.11031734770662555), np.float64(0.22391773882451374), np.float64(0.013392682139130802), np.float64(0.05020283356285083), np.float64(0.018318105701511274), np.float64(0.012408650303509499), np.float64(0.0007687974014334327), np.float64(3.938567212424983e-06), np.float64(1.92923746263996e-08)], [np.float64(8.85142653699929), np.float64(11.181274062038918), np.float64(14.283796451509364), np.float64(33.27702725665905), np.float64(1.2351687474147761), np.float64(0.16797656209315354), np.float64(0.1904314522317515), np.float64(0.02721408449801373), np.float64(0.04661859894849695), np.float64(0.02645981127451834), np.float64(0.006196936547388229), np.float64(0.005180918814849893), np.float64(0.00014313504166719323), np.float64(2.3735160987141766e-06), np.float64(4.818227051803318e-09)], [np.float64(8.888085937130112), np.float64(11.186149754722617), np.float64(14.241943578587843), np.float64(32.118612697612946), np.float64(3.04551075732822), np.float64(0.4965996355115207), np.float64(0.2081403813914086), np.float64(0.030169829939700184), np.float64(0.06112765997228474), np.float64(0.033602619322313114), np.float64(0.008691211654172448), np.float64(0.007031822637137722), np.float64(0.00025740887310995455), np.float64(1.818260745862734e-06)], [np.float64(8.984435269729923), np.float64(11.209956199904592), np.float64(14.227026375985302), np.float64(32.350171366989905), np.float64(2.7027654929536564), np.float64(0.4529733305315856), np.float64(0.4458922080868732), np.float64(0.11250335896490009), np.float64(0.03298414814780962), np.float64(0.008537274237683065), np.float64(0.00033497648008126816), np.float64(9.423941395417403e-06), np.float64(1.717223093845445e-08)], [np.float64(8.611874277971497), np.float64(11.13973424202615), np.float64(14.483480626588461), np.float64(36.045685699956614), np.float64(2.1247761314982894), np.float64(0.41225775856319463), np.float64(0.1689061081321393), np.float64(0.01611521143727507), np.float64(0.022354039636776093), np.float64(0.0023411305523838356), np.float64(0.014409390493137927), np.float64(0.0012383084884771151), np.float64(7.678643957496613e-06)]]"
5,1000,12,8.891379442289616e-08,0.0283052921295166,7.086281647937153,14.0,True,1.587196085357514,"[[np.float64(8.878626313319312), np.float64(11.226049513257234), np.float64(14.371104337142826), np.float64(33.81841807485992), np.float64(0.8166648529643803), np.float64(0.6460573559826608), np.float64(0.11040382038254787), np.float64(0.22366860441657824), np.float64(0.013398483008423638), np.float64(0.050204492808951756), np.float64(0.018330576524406568), np.float64(0.012410346244243139), np.float64(0.0007708167200378837), np.float64(4.093560421175904e-06), np.float64(1.908176233268198e-08)], [np.float64(8.851381329718366), np.float64(11.18109678133282), np.float64(14.28370869907529), np.float64(33.26959688117063), np.float64(1.2430555173605613), np.float64(0.16844965747378265), np.float64(0.19050130074346933), np.float64(0.027225700684649985), np.float64(0.046642695716191826), np.float64(0.02648272935507485), np.float64(0.006197996060292782), np.float64(0.005181966169199194), np.float64(0.00014315020708948885), np.float64(2.4392762170445985e-06), np.float64(4.879041029929914e-09)], [np.float64(8.888263558433332), np.float64(11.186257436966144), np.float64(14.24199500628022), np.float64(32.130534070711704), np.float64(3.028776390673163), np.float64(0.49211551833796624), np.float64(0.2081674186380735), np.float64(0.030128898760019687), np.float64(0.060998158151248635), np.float64(0.03354934577974025), np.float64(0.008693577973924702), np.float64(0.007040096708749306), np.float64(0.0002581222233528646), np.float64(2.0044349857631746e-06)], [np.float64(8.984326657963935), np.float64(11.209865533798165), np.float64(14.226948939662474), np.float64(32.3394325964824), np.float64(2.717016573816046), np.float64(0.456138281970466), np.float64(0.4459723295464432), np.float64(0.11260656425819397), np.float64(0.03300196581369551), np.float64(0.008545583296130728), np.float64(0.0003352886677472716), np.float64(1.1078412876237153e-05), np.float64(2.0774541719508774e-08)], [np.float64(8.61185597833292), np.float64(11.139784148677673), np.float64(14.483182535303033), np.float64(36.05123341744243), np.float64(2.128640619030018), np.float64(0.41342856037008185), np.float64(0.16880164244571733), np.float64(0.016125566141213972), np.float64(0.022362958134543254), np.float64(0.0023418257752327045), np.float64(0.01438767503735262), np.float64(0.0012436579607839231), np.float64(7.749672803218611e-06)]]"
6,10000,4,1.7653001042991273e-07,0.10900321006774902,7.086281647937154,14.0,True,0.16723019758073962,"[[np.float64(27.901736686912347), np.float64(35.29663608530836), np.float64(45.26586593236616), np.float64(107.76516532664944), np.float64(1.8557493255725266), np.float64(0.2583454678768993), np.float64(0.29196261194508333), np.float64(0.02973119048686365), np.float64(0.054553524315578424), np.float64(0.0273151651176194), np.float64(0.004187880357908728), np.float64(0.003632256521202453), np.float64(7.332376114627912e-05), np.float64(4.410976131318403e-06), np.float64(5.6927293003425775e-09)], [np.float64(27.510554322167675), np.float64(35.103210955418255), np.float64(45.28876087903323), np.float64(109.10628398505467), np.float64(2.3730282859220653), np.float64(0.3520029863966457), np.float64(0.20633146115402737), np.float64(0.005873846247786621), np.float64(0.021731089600655243), np.float64(0.017303960804466795), np.float64(0.0015732892004178026), np.float64(5.7850839027381816e-05), np.float64(7.380185418726579e-08)], [np.float64(27.776486784916443), np.float64(35.15226306831206), np.float64(45.100503816371614), np.float64(105.23392006199563), np.float64(3.946330851130652), np.float64(0.4135389160994125), np.float64(0.2550532361159542), np.float64(0.038329921719547), np.float64(0.07744684781653412), np.float64(0.04028301834942926), np.float64(0.009515215502212822), np.float64(0.007605151795499011), np.float64(0.00011525001009241926), np.float64(0.00036784029162692495), np.float64(7.027427615683092e-07)], [np.float64(27.98703441875481), np.float64(35.24989700827624), np.float64(45.14060250185851), np.float64(105.5439559517126), np.float64(3.5417798091070036), np.float64(0.3748549843517615), np.float64(0.20458848461705714), np.float64(0.027488921623252782), np.float64(0.05250022359320402), np.float64(0.02526318098716147), np.float64(0.00662556590188791), np.float64(0.005389150536925401), np.float64(0.0001534119351952591), np.float64(2.8797573765159798e-06)], [np.float64(27.765494261160114), np.float64(35.24770298285251), np.float64(45.20028626464919), np.float64(105.61985292384405), np.float64(3.470604648141976), np.float64(0.3696105572339429), np.float64(0.247008437899629), np.float64(0.0629414940065839), np.float64(0.01891746369182063), np.float64(0.012467730841755169), np.float64(0.0007674058096931063), np.float64(4.034454785765936e-06), np.float64(8.790258861725409e-08)]]"
7,10000,8,1.8323012162578585e-07,0.10678329467773437,7.086281647937153,13.8,True,1.5696805335531918,"[[np.float64(27.89748894422807), np.float64(35.291347425891736), np.float64(45.25892896374766), np.float64(107.69725663044805), np.float64(1.860599828139885), np.float64(0.25980799321313247), np.float64(0.2923512256438589), np.float64(0.029786773676126182), np.float64(0.05468398875305455), np.float64(0.027315524545824664), np.float64(0.004225429265048628), np.float64(0.003661292900801784), np.float64(7.507271211314946e-05), np.float64(4.674134444013509e-06), np.float64(5.977873467202409e-09)], [np.float64(27.506367833268843), np.float64(35.09793313457224), np.float64(45.28178098525393), np.float64(109.0369124737813), np.float64(2.326312171705708), np.float64(0.3422574175843523), np.float64(0.20671258407995752), np.float64(0.005867533359254338), np.float64(0.021810139396705234), np.float64(0.017352718564848577), np.float64(0.001582436190553962), np.float64(5.641408132763175e-05), np.float64(7.246384210022446e-08)], [np.float64(27.772254014346906), np.float64(35.14696690893257), np.float64(45.09358515106819), np.float64(105.16921349931538), np.float64(4.030578918177), np.float64(0.4223037135000066), np.float64(0.2548685666174487), np.float64(0.038519322872097715), np.float64(0.07791514097542654), np.float64(0.04044100224342986), np.float64(0.009487019871473969), np.float64(0.007647650249481723), np.float64(0.0003003898954639678), np.float64(1.8745867160665771e-06)], [np.float64(27.98277063583954), np.float64(35.24459331392682), np.float64(45.13368371729787), np.float64(105.47866209519958), np.float64(3.622477296642446), np.float64(0.3817792740303634), np.float64(0.20453215035508096), np.float64(0.027589965391033124), np.float64(0.052712529635363464), np.float64(0.025332308998758386), np.float64(0.006591866106192619), np.float64(0.00535964106063658), np.float64(0.0001525123718847822), np.float64(2.959184238257993e-06)], [np.float64(27.76126143079767), np.float64(35.24237873114441), np.float64(45.19338061286885), np.float64(105.55469089062204), np.float64(3.5506191982572286), np.float64(0.37638858414616616), np.float64(0.2471596831133098), np.float64(0.06295690599542099), np.float64(0.018967787157307417), np.float64(0.012497555316161868), np.float64(0.0007725907158137919), np.float64(4.180938510725519e-06), np.float64(7.271791981153955e-08)]]"
8,10000,12,1.6173256519877435e-07,0.11216793060302735,7.086281647937153,14.0,True,0.15851207446551913,"[[np.float64(27.897527710099915), np.float64(35.291396981455264), np.float64(45.259136935547154), np.float64(107.69648850068941), np.float64(1.8606121107668498), np.float64(0.2598189100485709), np.float64(0.2923550842691402), np.float64(0.029788637083554302), np.float64(0.05469320122429507), np.float64(0.027303752910145754), np.float64(0.004234663648206547), np.float64(0.0036661607648833623), np.float64(7.604982480334574e-05), np.float64(4.6570022434034785e-06), np.float64(6.277348024905681e-09)], [np.float64(27.506518640619912), np.float64(35.09816242362853), np.float64(45.28239902136037), np.float64(109.04777943156422), np.float64(2.3328188611807934), np.float64(0.34356575885104396), np.float64(0.20662767725875986), np.float64(0.0058702107606879005), np.float64(0.021808223794732726), np.float64(0.01734947392984586), np.float64(0.0015847663254481917), np.float64(5.4644680571888715e-05), np.float64(6.803308576588987e-08)], [np.float64(27.772181541432666), np.float64(35.14684104765563), np.float64(45.09318968532665), np.float64(105.15822415780372), np.float64(4.04253149886775), np.float64(0.42348471668660537), np.float64(0.25487556900489206), np.float64(0.03855536308491943), np.float64(0.07795231078601471), np.float64(0.04044985648739522), np.float64(0.009486680127473415), np.float64(0.007576783343625576), np.float64(0.00011516220223644164), np.float64(0.00036705720459206183), np.float64(7.318664079723934e-07)], [np.float64(27.98266630814254), np.float64(35.24462345778622), np.float64(45.13416988524675), np.float64(105.48586202447149), np.float64(3.6150049270081475), np.float64(0.38117350260492927), np.float64(0.2045296012920175), np.float64(0.027575628089330936), np.float64(0.05268962868301692), np.float64(0.025331976358922287), np.float64(0.006592195981731558), np.float64(0.0053581619340606155), np.float64(0.00015201277419898395), np.float64(3.0481857341887562e-06)], [np.float64(27.76134137967612), np.float64(35.24242415172884), np.float64(45.19388017914412), np.float64(105.5389086621685), np.float64(3.565359025941918), np.float64(0.37754374539577074), np.float64(0.24714690189117983), np.float64(0.06297307650968148), np.float64(0.01898974293049357), np.float64(0.012518714453219212), np.float64(0.0007767294131417836), np.float64(4.016972372824372e-06), np.float64(9.746331161709788e-08)]]"
9,100000,4,2.9085359657383847e-07,1.390793514251709,7.0862816479371515,15.0,True,-0.02337497771453272,"[[np.float64(88.20381599776813), np.float64(111.45044819700081), np.float64(142.86536578816188), np.float64(334.854724220523), np.float64(9.924808583905017), np.float64(1.0627953893942332), np.float64(0.1148356106443495), np.float64(0.19764282346386605), np.float64(0.013102757860650566), np.float64(0.05425776144482778), np.float64(0.019439300448165976), np.float64(0.0004610806139302555), np.float64(0.0022443092706128744), np.float64(3.0004905470739795e-05), np.float64(1.4116057263246167e-07)], [np.float64(87.76839597241319), np.float64(111.3600388231723), np.float64(142.9955427159696), np.float64(336.6050035777262), np.float64(8.071360364492115), np.float64(0.9461228103822324), np.float64(0.11798800855245972), np.float64(0.2114109817781476), np.float64(0.012266460613851332), np.float64(0.05605092229457881), np.float64(0.01959591836502175), np.float64(0.0006164004674116025), np.float64(0.0027295921523400246), np.float64(4.117003641715692e-05), np.float64(2.751488853959667e-06)], [np.float64(87.82515194288649), np.float64(111.32850393636609), np.float64(142.90695578880621), np.float64(336.06866713895283), np.float64(8.59104587002526), np.float64(1.0262968884951227), np.float64(0.6257527433442448), np.float64(0.08293105097128091), np.float64(0.1979648300300188), np.float64(0.008826859482376862), np.float64(0.03163523505447447), np.float64(0.012378357261735033), np.float64(0.009251380337275567), np.float64(0.0004297348742035943), np.float64(2.513106920863713e-06)], [np.float64(88.0410597311459), np.float64(111.44655156872206), np.float64(142.94375133517454), np.float64(335.6455487269849), np.float64(9.056553629320453), np.float64(1.0105270593336562), np.float64(0.14658127983557556), np.float64(0.3050118177552125), np.float64(0.01594640905927974), np.float64(0.04399047352136012), np.float64(0.02480636408947306), np.float64(0.005726269105495827), np.float64(0.004656016799560634), np.float64(0.00011579041614599417), np.float64(2.7930277684200946e-06)], [np.float64(88.09969416248273), np.float64(111.4944317464888), np.float64(142.90187862067023), np.float64(334.8660533511311), np.float64(9.934450198976727), np.float64(1.059962758565496), np.float64(0.1148308654417217), np.float64(0.21147110437503147), np.float64(0.009854560991307779), np.float64(0.03243353306312389), np.float64(0.01405363073350407), np.float64(0.009678526659309345), np.float64(0.00017087926813042767), np.float64(0.0005866911976656778), np.float64(1.8082684979081678e-06)]]"
