,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,paths
0,Newton Random Points,1e-06,2,0.018792057037353517,15.6,True,7.377087715843707,7.108129011604181e-07,0.9961034963451396,"[array([[-1.5996328 , -0.76022539],
       [-1.41205739,  2.28522827],
       [-1.0713175 ,  1.6006862 ],
       [-0.78332794,  1.23058647],
       [-0.53690372,  1.04047942],
       [-0.35632635,  0.98987851],
       [-0.25314899,  0.98570477],
       [-0.20328493,  0.98784031],
       [-0.18235649,  0.98947814],
       [-0.17500277,  0.99025971],
       [-0.17279399,  0.99056849],
       [-0.17218054,  0.99067848],
       [-0.17201398,  0.99071534],
       [-0.17196883,  0.99072722],
       [-0.17195654,  0.99073095],
       [-0.17195317,  0.9907321 ],
       [-0.17195224,  0.99073245],
       [-0.17195199,  0.99073255]]), array([[-1.02365334, -0.29381177],
       [-0.8634112 ,  1.15717307],
       [-0.60595708,  1.01761914],
       [-0.40249602,  0.98059306],
       [-0.27735929,  0.98169301],
       [-0.21435191,  0.98621151],
       [-0.18669277,  0.98884044],
       [-0.17641773,  0.99002502],
       [-0.17320184,  0.99048746],
       [-0.17229275,  0.99065179],
       [-0.17204456,  0.99070683],
       [-0.17197718,  0.99072457],
       [-0.17195883,  0.99073014],
       [-0.1719538 ,  0.99073185],
       [-0.17195242,  0.99073237],
       [-0.17195204,  0.99073253]]), array([[-0.69052661, -0.05081016],
       [-0.54727851,  0.99295051],
       [-0.36304645,  0.97768118],
       [-0.25650514,  0.98254047],
       [-0.20477948,  0.98696012],
       [-0.18293542,  0.98922004],
       [-0.17519238,  0.99018242],
       [-0.17284977,  0.99054532],
       [-0.17219632,  0.99067157],
       [-0.1720184 ,  0.99071329],
       [-0.17197007,  0.99072662],
       [-0.17195689,  0.99073077],
       [-0.17195327,  0.99073205],
       [-0.17195227,  0.99073243],
       [-0.171952  ,  0.99073255]]), array([[-1.57400677, -0.19162456],
       [-1.31556751,  1.72577966],
       [-1.00789076,  1.40200958],
       [-0.73101148,  1.12874309],
       [-0.4954689 ,  1.00669557],
       [-0.33056065,  0.98355449],
       [-0.24007212,  0.98507078],
       [-0.19749514,  0.98799211],
       [-0.18019998,  0.98962235],
       [-0.17433196,  0.99032884],
       [-0.17260583,  0.99059539],
       [-0.17212951,  0.99068795],
       [-0.1720002 ,  0.99071849],
       [-0.1719651 ,  0.99072823],
       [-0.17195552,  0.99073127],
       [-0.17195289,  0.9907322 ],
       [-0.17195217,  0.99073248],
       [-0.17195197,  0.99073256]]), array([[-0.98119634, -1.43899706],
       [-0.79364391,  0.7867691 ],
       [-0.55210031,  0.94193117],
       [-0.36647811,  0.96667087],
       [-0.25820352,  0.97986817],
       [-0.20553253,  0.98625041],
       [-0.18323125,  0.98902073],
       [-0.17529157,  0.99012495],
       [-0.17287964,  0.99052862],
       [-0.17220496,  0.99066672],
       [-0.17202087,  0.99071188],
       [-0.17197077,  0.99072621],
       [-0.17195709,  0.99073065],
       [-0.17195333,  0.99073201],
       [-0.17195229,  0.99073242],
       [-0.171952  ,  0.99073255]])]"
1,Newton Random Points,1e-06,1000,0.10508356094360352,23.4,True,7.086281647937165,2.0090687308231922e-07,1.766888809039593,"[[np.float64(12.745049730858916), np.float64(6.810572377711824), np.float64(8.643088497798553), np.float64(19.30323146498949), np.float64(3.0600587379025224), np.float64(3.6491932558976443), np.float64(16.489390854586528), np.float64(4.159270721163408), np.float64(1.2742522764038848), np.float64(3.7870852826477455), np.float64(6.503898757783574), np.float64(2.182809534353165), np.float64(0.977671739528048), np.float64(0.5518897680268378), np.float64(0.17618855374482623), np.float64(0.02894290818490054), np.float64(0.0008275019270053499), np.float64(7.213103492808445e-07)], [np.float64(12.204766411886778), np.float64(9.703469854423734), np.float64(2.8018603356840077), np.float64(2.4804655876922235), np.float64(2.163032035445609), np.float64(4.753446831301407), np.float64(10.189623762170402), np.float64(4.070982099882969), np.float64(7.795557892005902), np.float64(8.180866558823187), np.float64(0.8997824305386941), np.float64(1.6977063648431614), np.float64(3.4947215393080175), np.float64(2.7998839717371653), np.float64(1.3143043844746338), np.float64(4.750649088513906), np.float64(0.6235422508559679), np.float64(1.1076108829063416), np.float64(1.2614755377190665), np.float64(0.5212684420633177), np.float64(1.1809209353703505), np.float64(0.18766966428104082), np.float64(0.05065456554695973), np.float64(0.003387457697728099), np.float64(1.4484800819022285e-05)], [np.float64(12.1177000320757), np.float64(9.36273535367627), np.float64(1.702200585244399), np.float64(2.991690878578151), np.float64(8.375396930768238), np.float64(3.407118837559688), np.float64(1.595694814035371), np.float64(0.3363776225713853), np.float64(2.9207911910779267), np.float64(3.549240331673363), np.float64(8.050574927218328), np.float64(10.598234361396866), np.float64(9.290712901520143), np.float64(1.1812059619047626), np.float64(2.4575106560222517), np.float64(1.2595415438410764), np.float64(0.7869038999607826), np.float64(0.3338832388390791), np.float64(0.1007992282270139), np.float64(0.009924117680614323), np.float64(0.00010401917767202085), np.float64(2.2784824098763567e-06)], [np.float64(12.203107597205495), np.float64(11.00643123181629), np.float64(10.891889319794343), np.float64(2.259301433719974), np.float64(5.850429802606139), np.float64(2.505579995684109), np.float64(0.9804982733336635), np.float64(2.000042972694484), np.float64(0.630339549483564), np.float64(1.7216667990660348), np.float64(4.188821317414199), np.float64(14.016308866252368), np.float64(0.5432504152141333), np.float64(0.6008730046504471), np.float64(0.28367134129909544), np.float64(4.392701476571413), np.float64(1.9200178694344212), np.float64(1.3749410489111533), np.float64(0.9547697081306572), np.float64(0.5350832561288403), np.float64(0.534920089867003), np.float64(1.3707249898760003), np.float64(0.2867138257544285), np.float64(0.13881907865515086), np.float64(0.032582422867574824), np.float64(0.0016691546506114635), np.float64(4.302283655523789e-06)], [np.float64(11.929585949658781), np.float64(9.644044089412862), np.float64(6.124214118859669), np.float64(0.6734725525642365), np.float64(1.4309811780837896), np.float64(4.859555870534154), np.float64(8.475678482487195), np.float64(2.0169673384251876), np.float64(1.0959365167503579), np.float64(1.8067177561240093), np.float64(3.46890340149624), np.float64(5.897942184655745), np.float64(15.190020808386436), np.float64(5.20032701211828), np.float64(3.4020593328267648), np.float64(5.3081500498060805), np.float64(3.707299361221402), np.float64(1.8639782022350706), np.float64(1.3512512815427236), np.float64(0.649283303402524), np.float64(0.39082693256007345), np.float64(0.16857998860006), np.float64(0.032587233468048704), np.float64(0.00120777359626877), np.float64(1.7057076100832562e-06)]]"
2,Newton Random Points,1e-06,10000,0.5154913902282715,27.0,True,7.086281647937159,4.4311013130617933e-07,1.4326815754569824,"[[np.float64(38.12275159585905), np.float64(28.77060975175669), np.float64(31.691468180797283), np.float64(7.520968669704222), np.float64(0.786314160342988), np.float64(1.4647657069842208), np.float64(3.356431269951706), np.float64(13.420293455724593), np.float64(10.415977360994509), np.float64(24.956617602512182), np.float64(72.33289138998877), np.float64(3.3328262703090523), np.float64(6.425763241864846), np.float64(12.487710398544385), np.float64(1.8665384473277764), np.float64(2.441417908771393), np.float64(1.6217583711483232), np.float64(0.4291109083087043), np.float64(0.18958141832140438), np.float64(0.04208918720618315), np.float64(0.0024166823266931277), np.float64(2.440977126945163e-05), np.float64(1.0897274484049958e-06)], [np.float64(37.3164018862965), np.float64(28.24527110909373), np.float64(28.410644234982957), np.float64(4.055791545218037), np.float64(0.7274291343701909), np.float64(1.61556507888576), np.float64(1.3426338958848707), np.float64(5.056800479141308), np.float64(16.11067756425928), np.float64(24.572452147457213), np.float64(15.519333629907543), np.float64(12.861838280911151), np.float64(13.513071899589132), np.float64(25.18235866624395), np.float64(1.4333700016621602), np.float64(2.5990008857137847), np.float64(12.18793384356922), np.float64(0.5950971277181285), np.float64(0.8375735966398974), np.float64(1.4015580364425386), np.float64(0.7264080812975949), np.float64(0.3269393576557317), np.float64(0.12950500871582427), np.float64(0.021058630135158105), np.float64(0.0005525876004352847), np.float64(3.7033753515845044e-06), np.float64(1.8653975331728994e-07)], [np.float64(38.83360841630135), np.float64(20.921410734669298), np.float64(30.245390962978277), np.float64(3.8127847351436337), np.float64(4.182469463922188), np.float64(2.9265441347422607), np.float64(20.32688979539008), np.float64(0.7170019706880133), np.float64(1.745494900077965), np.float64(3.4163021433033216), np.float64(10.068831193660186), np.float64(13.472840311885413), np.float64(24.955989546757536), np.float64(27.971972267308338), np.float64(22.1037636476201), np.float64(3.01307394778933), np.float64(1.8688403054886522), np.float64(0.7988252031747596), np.float64(0.2726582425722201), np.float64(0.05081558721685834), np.float64(0.002630998977127288), np.float64(9.635219324960286e-06)], [np.float64(37.79196722186951), np.float64(28.63324843565024), np.float64(17.268029699214523), np.float64(0.5197854563255205), np.float64(1.1608147319269746), np.float64(3.15657895853705), np.float64(11.270776638951478), np.float64(36.50059236357086), np.float64(1.0003684130064832), np.float64(1.4523352557618427), np.float64(3.4299624819476326), np.float64(10.772130616771195), np.float64(19.25663910398772), np.float64(68.96736628492813), np.float64(14.270861897142778), np.float64(4.856297138332771), np.float64(1.331361656304948), np.float64(3.123068083768598), np.float64(0.5424408322223971), np.float64(0.46441001638738516), np.float64(0.1813452201639546), np.float64(0.042351000516562126), np.float64(0.0025645020763630654), np.float64(1.0082294845669053e-05)], [np.float64(37.830740433601036), np.float64(28.93387774884352), np.float64(10.239363233453963), np.float64(0.768566442336336), np.float64(2.150990174034695), np.float64(7.9367822904822924), np.float64(20.421826845960656), np.float64(0.7578677615732401), np.float64(3.5795256302284377), np.float64(0.5866063779484352), np.float64(1.4378285486351963), np.float64(5.237141686873326), np.float64(9.30788987383094), np.float64(15.852808700863408), np.float64(15.919206081485003), np.float64(0.5983998525640976), np.float64(0.5639343099952913), np.float64(0.3198623029020035), np.float64(0.2802409954146363), np.float64(0.2649815639770168), np.float64(0.2575429939599183), np.float64(0.2533513265487984), np.float64(1.0607021426717875), np.float64(1.6892603776879473), np.float64(2.8059051995405233), np.float64(23.54221511611537), np.float64(27.839967853073627), np.float64(0.5802438380974996), np.float64(0.5936239117504324), np.float64(0.9909923506648571), np.float64(2.929160117718261), np.float64(3.7496949529416725), np.float64(0.8734176701673418), np.float64(1.0835834514763356), np.float64(0.40657933079154357), np.float64(0.22581834124617567), np.float64(0.0730018145170401), np.float64(0.006923011414455578), np.float64(5.939360974943457e-05)]]"
3,Newton Random Points,1e-06,100000,6.717749786376953,29.6,True,7.086281647937154,1.1478062724306766e-07,1.9660519023785756,"[[np.float64(117.50335316238797), np.float64(89.63823695322574), np.float64(30.950470243411782), np.float64(0.628003775121939), np.float64(4.229415316133149), np.float64(1.8410158372730396), np.float64(7.8409394218401305), np.float64(0.6508742210459364), np.float64(1.3252468881306894), np.float64(1.8587794127446278), np.float64(6.733514966190973), np.float64(24.014309762957467), np.float64(31.343041973112523), np.float64(55.030398029893426), np.float64(101.77793499527336), np.float64(44.85301197218351), np.float64(2.59919383183174), np.float64(6.132094218134909), np.float64(23.52114451017939), np.float64(92.55214546293965), np.float64(55.63251542791733), np.float64(18.529943309243997), np.float64(0.7201533876964364), np.float64(1.3934392147135293), np.float64(2.112657482430757), np.float64(0.40553354132554487), np.float64(0.14760391961774963), np.float64(0.038983995109604985), np.float64(0.00253059948110005), np.float64(1.0108286517248062e-05)], [np.float64(118.40282986293815), np.float64(65.58102970804714), np.float64(84.00102579840002), np.float64(14.215455780589185), np.float64(0.8944280277820608), np.float64(3.058754783507228), np.float64(11.37249563555421), np.float64(24.721612303801088), np.float64(73.4490886253445), np.float64(62.29989869948581), np.float64(210.94754676483413), np.float64(0.9264993616107093), np.float64(2.0693479027312205), np.float64(1.8871402330023377), np.float64(1.7915765086731619), np.float64(1.7082920350218538), np.float64(22.871668242717707), np.float64(13.776527593645502), np.float64(11.323261415211846), np.float64(6.629034497010214), np.float64(0.6253981627382756), np.float64(1.0390491466441154), np.float64(0.10249799682997497), np.float64(0.017271487776983736), np.float64(0.0004782255205516303), np.float64(3.892014204956872e-07)], [np.float64(117.39281347644024), np.float64(89.89623631513228), np.float64(3.6336916015860368), np.float64(4.133680961189478), np.float64(0.6743826296785913), np.float64(1.0005518696567626), np.float64(3.5601159976820105), np.float64(12.847891083192692), np.float64(24.637509064093816), np.float64(49.55148460539187), np.float64(83.16919529391213), np.float64(2.898068199178968), np.float64(1.7361308047410533), np.float64(1.3912293353405256), np.float64(1.5646068857111575), np.float64(6.765857037112382), np.float64(10.686934894617009), np.float64(43.171006481809265), np.float64(50.44454365432774), np.float64(134.05722501362223), np.float64(9.80543728732626), np.float64(5.295038264072228), np.float64(50.126228753832514), np.float64(1.898831772047873), np.float64(4.222735387463705), np.float64(5.669530357032922), np.float64(1.075639819250687), np.float64(0.5963458289223675), np.float64(0.19628830383210044), np.float64(0.03914512118052197), np.float64(0.0021361332808004924), np.float64(7.137767603464213e-06)], [np.float64(117.66884927257021), np.float64(89.65085099692212), np.float64(89.40438822329511), np.float64(67.74504024917155), np.float64(1.9134421903585874), np.float64(4.0764532127005335), np.float64(12.020446111785862), np.float64(24.05066318107005), np.float64(1.9205032936450523), np.float64(0.6701137051512943), np.float64(4.518546236965104), np.float64(9.5700171720549), np.float64(24.940560199756902), np.float64(45.9083963392028), np.float64(74.9478131022193), np.float64(71.91865538957379), np.float64(5.448123418546814), np.float64(16.08018695054952), np.float64(47.690745431517776), np.float64(2.2798314059467417), np.float64(5.2263687736275894), np.float64(1.803928377206485), np.float64(1.1581208953509872), np.float64(0.3149862456131108), np.float64(0.10850303968844027), np.float64(0.018270063026177195), np.float64(0.0005295427291495214), np.float64(6.369587375049989e-07)], [np.float64(117.0662305971838), np.float64(90.05011683316337), np.float64(32.45970287480599), np.float64(2.8178043848607413), np.float64(9.141028900865702), np.float64(21.429253525267928), np.float64(14.939194311287562), np.float64(2.8721991640244178), np.float64(2.3022016566524806), np.float64(8.482368585931576), np.float64(33.15671335061805), np.float64(1.603541522686718), np.float64(3.999749602796556), np.float64(18.10717417540286), np.float64(41.11763182821866), np.float64(61.12274226835126), np.float64(159.88597513615002), np.float64(99.77701662049542), np.float64(7.102982100065575), np.float64(11.780453442037405), np.float64(1.412269309764882), np.float64(16.142231192749435), np.float64(0.9014313516254514), np.float64(1.6182843482805351), np.float64(0.062279134703870635), np.float64(3.7380749568170746), np.float64(0.7995055550253604), np.float64(0.263821892851515), np.float64(0.09556806623936513), np.float64(0.013545381869746447), np.float64(0.0002819947686211067), np.float64(1.3815903475407802e-07)]]"
