,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,path
0,Newton Initial Points,1e-06,2,0.02030324935913086,15,True,7.3770877158437385,1.0001069850227056e-06,0.9960433556743713,"[[-1.         -1.        ]
 [-0.86876121  1.05012196]
 [-0.61170298  0.98645319]
 [-0.40672446  0.97312544]
 [-0.27960923  0.97979932]
 [-0.21538959  0.98568353]
 [-0.18711275  0.98868292]
 [-0.1765607   0.98997668]
 [-0.17324448  0.99047263]
 [-0.17230479  0.99064729]
 [-0.17204791  0.99070548]
 [-0.17197811  0.99072416]
 [-0.17195909  0.99073002]
 [-0.17195388  0.99073182]
 [-0.17195244  0.99073236]
 [-0.17195204  0.99073253]]"
1,Newton Initial Points,1e-06,1000,0.022063493728637695,10,True,7.086281647937156,2.0930216483084545e-07,0.7758602075063303,"[np.float64(14.749524431766352), np.float64(16.16849865381446), np.float64(44.65344532164007), np.float64(7.3020396642341066), np.float64(3.838094090271419), np.float64(1.054063215887299), np.float64(0.07294402295645878), np.float64(0.0005372624993561066), np.float64(1.1385307614088456e-05), np.float64(5.72370911887215e-07)]"
2,Newton Initial Points,1e-06,10000,0.08702707290649414,10,True,7.086281647937156,2.0930216483084545e-07,0.657114651274322,"[np.float64(46.31722840785765), np.float64(51.17073584948216), np.float64(141.34756187824993), np.float64(23.11527629551568), np.float64(12.14618190753744), np.float64(3.3283692080055696), np.float64(0.22609689892978774), np.float64(0.0010781114212472154), np.float64(1.1385321467824108e-05), np.float64(5.72370911887215e-07)]"
3,Newton Initial Points,1e-06,100000,1.0071022510528564,10,True,7.086281647937156,2.0930216483084545e-07,0.5319277409484853,"[np.float64(146.36480933479027), np.float64(161.82917782021994), np.float64(447.0247911998364), np.float64(73.10456995166469), np.float64(38.41246440653254), np.float64(10.523685894301918), np.float64(0.7135191517482994), np.float64(0.0031462766360758738), np.float64(1.1385460004251906e-05), np.float64(5.72370911887215e-07)]"
