,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,paths
0,Truncated Newton Random Points,1e-06,2,0.014040660858154298,15.6,True,7.377087715843696,5.444350847866247e-07,0.9950577804977163,"[array([[-1.5996328 , -0.76022539],
       [-1.21106169, -0.69367001],
       [-0.85765967, -0.568673  ],
       [-0.73631719,  0.97950351],
       [-0.50249642,  0.98952474],
       [-0.33525051,  0.99019515],
       [-0.24250437,  0.98598456],
       [-0.19855857,  0.98743739],
       [-0.1811061 ,  0.99074672],
       [-0.17457567,  0.99061713],
       [-0.17266194,  0.99067004],
       [-0.17214132,  0.99070744],
       [-0.17200249,  0.99072361],
       [-0.17196548,  0.99072959],
       [-0.17195556,  0.99073163],
       [-0.17195289,  0.99073229],
       [-0.17195216,  0.9907325 ],
       [-0.17195196,  0.99073257]]), array([[-1.02365334, -0.29381177],
       [-0.6963671 , -0.13541802],
       [-0.56091565,  0.98464856],
       [-0.37275726,  0.98891677],
       [-0.26161682,  0.98623975],
       [-0.2071712 ,  0.98636068],
       [-0.18437289,  0.99049838],
       [-0.1756169 ,  0.99050233],
       [-0.1729571 ,  0.99062605],
       [-0.17222166,  0.99069208],
       [-0.1720242 ,  0.99071854],
       [-0.17197137,  0.99072797],
       [-0.17195717,  0.99073112],
       [-0.17195333,  0.99073214],
       [-0.17195228,  0.99073246],
       [-0.171952  ,  0.99073256]]), array([[-0.69052661, -0.05081016],
       [-0.54727851,  0.99295051],
       [-0.36379146,  0.99402793],
       [-0.25696356,  0.9877324 ],
       [-0.20518861,  0.98628745],
       [-0.18383125,  0.99076914],
       [-0.17543502,  0.99058291],
       [-0.17290289,  0.99065004],
       [-0.17220623,  0.9906992 ],
       [-0.17201985,  0.99072064],
       [-0.17197014,  0.99072858],
       [-0.17195682,  0.9907313 ],
       [-0.17195323,  0.99073219],
       [-0.17195226,  0.99073247],
       [-0.17195199,  0.99073256]]), array([[-1.57400677, -0.19162456],
       [-1.20991715, -0.14063218],
       [-0.88715528, -0.0521789 ],
       [-0.57155249,  0.13722672],
       [-0.43109578,  0.96916369],
       [-0.29304395,  0.97810154],
       [-0.22174992,  0.98514247],
       [-0.18996519,  0.98958362],
       [-0.17753048,  0.98978752],
       [-0.17353131,  0.99040922],
       [-0.17238457,  0.99062676],
       [-0.17206976,  0.99069901],
       [-0.1719841 ,  0.99072216],
       [-0.17196073,  0.99072941],
       [-0.17195433,  0.99073163],
       [-0.17195257,  0.99073231],
       [-0.17195208,  0.99073251],
       [-0.17195194,  0.99073257]]), array([[-0.98119634, -1.43899706],
       [-0.58828677, -1.24235266],
       [-0.19182363, -0.01101188],
       [-0.27264631,  0.78173973],
       [-0.23687919,  0.95090936],
       [-0.21077074,  0.98527229],
       [-0.18616514,  0.9907283 ],
       [-0.17619683,  0.99053607],
       [-0.17312042,  0.99062769],
       [-0.17226529,  0.99069058],
       [-0.17203573,  0.99071762],
       [-0.17197442,  0.99072759],
       [-0.17195798,  0.99073098],
       [-0.17195355,  0.99073209],
       [-0.17195234,  0.99073244],
       [-0.17195201,  0.99073255]])]"
1,Truncated Newton Random Points,1e-06,1000,0.024527359008789062,16.0,True,7.086281647937172,4.1235425357659643e-07,1.0226634935095833,"[[np.float64(8.613614467833772), np.float64(10.631049780969485), np.float64(13.41601613044383), np.float64(27.367355045596486), np.float64(11.067869936590473), np.float64(2.1726617166751376), np.float64(0.3826297015167855), np.float64(0.44396596691669715), np.float64(0.15517272784694286), np.float64(0.010163198818997165), np.float64(0.04098673822927657), np.float64(0.013218085643887255), np.float64(0.009634741499805921), np.float64(0.0009055119572100581), np.float64(4.989126107562178e-05), np.float64(2.5413129847161297e-06)], [np.float64(8.61509514141289), np.float64(10.632818930563984), np.float64(13.37945497407274), np.float64(27.4143628860672), np.float64(10.861229672989863), np.float64(2.073320627168764), np.float64(0.3071117942173257), np.float64(0.23704550071170338), np.float64(0.053833331193926935), np.float64(0.022941579875184852), np.float64(0.009341942114142522), np.float64(0.007070526360426013), np.float64(0.0005778754961415735), np.float64(3.114564240385955e-05), np.float64(1.575068062064673e-06)], [np.float64(8.644111841053281), np.float64(10.603968081831646), np.float64(13.274068677066282), np.float64(26.31811615382711), np.float64(15.838036210019418), np.float64(4.337147831720359), np.float64(1.36829784774167), np.float64(0.13668783181797653), np.float64(0.20744656852850377), np.float64(0.05728203392878081), np.float64(0.02297846052495009), np.float64(0.0005885173540269303), np.float64(0.0038825788306283662), np.float64(0.00027298615061098497), np.float64(1.570409696995459e-05), np.float64(7.474345356674013e-07)], [np.float64(8.741128664744336), np.float64(10.641103217107718), np.float64(13.265619527371566), np.float64(26.369467760931677), np.float64(15.335370580934717), np.float64(4.118650005002091), np.float64(1.2347518743243815), np.float64(0.3964714138845228), np.float64(0.10667715854514054), np.float64(0.006708455139574028), np.float64(0.03961541714791751), np.float64(0.009752255172029595), np.float64(0.0009532517629375686), np.float64(5.3981814168532076e-05), np.float64(2.714059705853462e-06), np.float64(1.3754630020297838e-07)], [np.float64(8.374672386154002), np.float64(10.576348275655624), np.float64(13.540790608151164), np.float64(29.150662064186594), np.float64(10.098308512150632), np.float64(3.172236669621446), np.float64(0.7187785090494277), np.float64(0.21135215189989534), np.float64(0.012021557110051642), np.float64(0.039705020467641995), np.float64(0.02159367969964848), np.float64(0.011499300790612208), np.float64(0.0003109084322328313), np.float64(0.0014097865167437757), np.float64(8.252578078414315e-05), np.float64(4.175672439858341e-06), np.float64(2.1083283299843005e-07)]]"
2,Truncated Newton Random Points,1e-06,10000,0.07925143241882324,15.4,True,7.086281647937175,5.11499566574703e-07,1.0006563614118111,"[[np.float64(27.11614576570218), np.float64(33.462530958179414), np.float64(42.195314139665044), np.float64(87.2607441774985), np.float64(32.12482843192183), np.float64(5.473154024269782), np.float64(0.6647399701860931), np.float64(0.34023078218931796), np.float64(0.0831676963473709), np.float64(0.034386834076184675), np.float64(0.010103158841107535), np.float64(0.0010734215578474492), np.float64(0.00010916792605737168), np.float64(4.241085498829445e-06), np.float64(2.1329182017093676e-07)], [np.float64(26.72388084977787), np.float64(33.26689389917582), np.float64(42.19164083334499), np.float64(88.08404926858806), np.float64(29.419690578484925), np.float64(4.180061364039206), np.float64(0.3930016890932835), np.float64(0.23666311413945992), np.float64(0.05004335991985518), np.float64(0.02257400833836998), np.float64(0.008868108751571412), np.float64(0.006819300859224987), np.float64(0.000552190410735043), np.float64(2.9695095071464776e-05), np.float64(1.503230529865109e-06)], [np.float64(26.987416007555396), np.float64(33.331321869410615), np.float64(42.05929036941553), np.float64(85.7060949194484), np.float64(38.0318010539287), np.float64(8.292592230208049), np.float64(1.5245662200942356), np.float64(0.3010673433555274), np.float64(0.025633513471494167), np.float64(0.07483712328254695), np.float64(0.03658212761320936), np.float64(0.010427978222970305), np.float64(0.007884679831480907), np.float64(0.0006815453835718788), np.float64(3.697999157773965e-05), np.float64(1.87410449473897e-06)], [np.float64(27.187620021096123), np.float64(33.39281218933725), np.float64(42.031819613772434), np.float64(85.56394708017064), np.float64(38.50009397180212), np.float64(8.512773629549466), np.float64(1.6085216671911333), np.float64(0.2278193508295921), np.float64(0.023279533812225153), np.float64(0.04751918095752086), np.float64(0.022751622968691907), np.float64(0.004196869323302089), np.float64(0.0002852896211194227), np.float64(1.4880040717701e-05), np.float64(7.535075417618007e-07)], [np.float64(26.99573861792932), np.float64(33.418810500837935), np.float64(42.1527783187594), np.float64(85.99733764721996), np.float64(36.92477838613663), np.float64(7.767273879106866), np.float64(1.3320741361657085), np.float64(0.24414772634409443), np.float64(0.023455757911242617), np.float64(0.06451166783259318), np.float64(0.031979792199958196), np.float64(0.010913742017250793), np.float64(0.008262540148543246), np.float64(0.0007292852200894098), np.float64(3.997221816471757e-05), np.float64(2.016001954368401e-06)]]"
3,Truncated Newton Random Points,1e-06,100000,1.0878171920776367,16.4,True,7.0862816479371675,3.886821890691745e-07,1.0124533463699819,"[[np.float64(85.72360405595064), np.float64(105.69935881503964), np.float64(133.26357450537344), np.float64(272.5628375410413), np.float64(114.25390565208718), np.float64(23.366055259259724), np.float64(3.7983912101709882), np.float64(0.12076378620952606), np.float64(0.2170620156341016), np.float64(0.0590765265928539), np.float64(0.019441915139508457), np.float64(0.008455400662822445), np.float64(0.006292799681788378), np.float64(0.0004934914189172682), np.float64(2.7323024919765794e-05), np.float64(1.3563274584374825e-06)], [np.float64(85.2918552576722), np.float64(105.58849520440883), np.float64(133.3601382603692), np.float64(273.6122132720417), np.float64(110.29922104605951), np.float64(21.47605807940805), np.float64(3.1956231689564154), np.float64(0.11239374393300301), np.float64(0.24791791810455843), np.float64(0.06194838222337223), np.float64(0.03087466011397129), np.float64(0.005927814366577706), np.float64(0.000867346450206128), np.float64(0.0006930626091584976), np.float64(3.73203118376265e-05), np.float64(1.9143937926711895e-06)], [np.float64(85.3101318436434), np.float64(105.50283719766855), np.float64(133.18056396515254), np.float64(272.64740817694843), np.float64(113.65451195351235), np.float64(23.079818458000894), np.float64(3.7086901983227794), np.float64(0.46796884108415576), np.float64(0.18814331106923254), np.float64(0.02517896189188479), np.float64(0.05079073112550159), np.float64(0.027545428137298187), np.float64(0.010958692635915557), np.float64(0.000283737171753532), np.float64(0.0013072712385721072), np.float64(7.529956952393599e-05), np.float64(3.848262816585284e-06), np.float64(1.9533988269995764e-07)], [np.float64(85.55791104117708), np.float64(105.6650428705705), np.float64(133.28013725775), np.float64(272.7978552390044), np.float64(113.29358542325696), np.float64(22.907262604482476), np.float64(3.6477339330327037), np.float64(0.33085658333324985), np.float64(0.05026789293858886), np.float64(0.11806030273272634), np.float64(0.041310814939523446), np.float64(0.0102269916520498), np.float64(0.0010417038230085916), np.float64(6.767103770572356e-05), np.float64(3.155655345946392e-06), np.float64(1.5987871778734145e-07)], [np.float64(85.61888627295255), np.float64(105.7298888643976), np.float64(133.28321041500104), np.float64(272.4959385321774), np.float64(114.56161297434576), np.float64(23.51194301286312), np.float64(3.84613793891343), np.float64(0.1289847204642411), np.float64(0.23909239798676687), np.float64(0.05109666235573653), np.float64(0.02815309791843456), np.float64(0.0008560296279315524), np.float64(0.0056159824920003374), np.float64(0.00044288519018404105), np.float64(2.4243565652209566e-05), np.float64(1.2068555989210995e-06)]]"
