,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,path
0,Truncated Newton Initial Points,1e-06,2,0.013887643814086914,15,True,7.377087715843713,7.938766490171298e-07,0.9964523125996957,"[[-1.         -1.        ]
 [-0.61787448 -0.77757893]
 [-0.48741051  0.63798755]
 [-0.28202408  0.84476762]
 [-0.23541999  0.96275014]
 [-0.20637824  0.98884348]
 [-0.18362474  0.98875069]
 [-0.17542401  0.99004723]
 [-0.17291963  0.99050606]
 [-0.17221653  0.99066016]
 [-0.17202418  0.99070998]
 [-0.17197172  0.99072565]
 [-0.17195736  0.99073049]
 [-0.1719534   0.99073197]
 [-0.17195231  0.99073241]
 [-0.17195201  0.99073254]]"
1,Truncated Newton Initial Points,1e-06,1000,0.02016472816467285,13,True,7.086281647937157,2.9155158308369756e-07,1.084150737127886,"[np.float64(14.623946270718506), np.float64(16.177205249363244), np.float64(44.71521370071659), np.float64(7.3115966016944975), np.float64(3.8556426996300974), np.float64(1.062669183974631), np.float64(0.07524551670814011), np.float64(0.07340681883884936), np.float64(0.006818756891054974), np.float64(0.004190147611250363), np.float64(0.000282880491587407), np.float64(1.6699287989633382e-05), np.float64(7.769259823479062e-07)]"
2,Truncated Newton Initial Points,1e-06,10000,0.07824373245239258,13,True,7.086281647937158,2.9926139122548203e-07,1.0527607605993645,"[np.float64(46.27739145596358), np.float64(51.17348618447351), np.float64(141.36708670230703), np.float64(23.11830082348595), np.float64(12.15174122890261), np.float64(3.3310874561939126), np.float64(0.2268130047796886), np.float64(0.07270900421665193), np.float64(0.006886163730175752), np.float64(0.004198915965605511), np.float64(0.0002792813543963755), np.float64(1.5667171487702806e-05), np.float64(7.54975453641591e-07)]"
3,Truncated Newton Initial Points,1e-06,100000,0.8882348537445068,13,True,7.086281647937158,2.72173722223796e-07,1.0212940663595862,"[np.float64(146.35220778006286), np.float64(161.830047459946), np.float64(447.0309652362543), np.float64(73.10552646529425), np.float64(38.414222734056786), np.float64(10.524545378361234), np.float64(0.7137452297538435), np.float64(0.07263463280206334), np.float64(0.007003646990876444), np.float64(0.004115211754104535), np.float64(0.00026656256328027694), np.float64(1.4139651065841982e-05), np.float64(7.045642744311978e-07)]"
