,n,k,norm_gradient,time,final_score,iterations,converges,conv,paths
0,2,4,3.28901083570399e-08,0.017177772521972657,5.901670172674936,8.8,True,1.9115378296608376,"[array([[-1.5996328 , -0.76022539],
       [-1.21111384, -0.69367895],
       [-0.85795727, -0.56878299],
       [-0.73747978,  0.98835596],
       [-0.50011671,  0.99702595],
       [-0.3271596 ,  0.99453673],
       [-0.23086949,  0.98608337],
       [-0.18746934,  0.98861205],
       [-0.17432483,  0.99181242],
       [-0.17199899,  0.99072835],
       [-0.1719519 ,  0.9907326 ]]), array([[-1.02365334, -0.29381177],
       [-0.69367029, -0.13411287],
       [-0.53127845,  0.70220957],
       [-0.32417459,  0.83241366],
       [-0.23210531,  0.97625025],
       [-0.19110979,  0.99395964],
       [-0.1744127 ,  0.99053959],
       [-0.17200455,  0.99069231],
       [-0.17195191,  0.9907326 ]]), array([[-0.69052661, -0.05081016],
       [-0.35899116,  0.351473  ],
       [-0.28060135,  0.85494456],
       [-0.22550562,  0.98578185],
       [-0.18540451,  0.98941274],
       [-0.17334539,  0.99090443],
       [-0.17196885,  0.99073131],
       [-0.17195189,  0.9907326 ]]), array([[-1.57400677, -0.19162456],
       [-1.20791117, -0.14035123],
       [-0.88204691, -0.05065868],
       [-0.56499603,  0.14242686],
       [-0.28899746,  0.63140966],
       [-0.24881931,  0.94089468],
       [-0.20793258,  0.99437881],
       [-0.1840884 ,  0.98471033],
       [-0.17309794,  0.99064409],
       [-0.17196362,  0.99071154],
       [-0.17195189,  0.9907326 ]]), array([[-0.98119634, -1.43899706],
       [-0.60987801, -1.2531587 ],
       [ 0.67718911,  2.13648613],
       [ 1.16927105,  1.51185055],
       [ 1.01081188,  1.43234618],
       [ 1.02823153,  0.98349615],
       [ 1.00158027,  0.98717778],
       [ 1.00003214,  0.999937  ],
       [ 1.00000001,  1.        ],
       [ 1.        ,  1.        ]])]"
1,2,8,8.186401686414722e-08,0.013092231750488282,1.4754175431687364,12.4,True,14.266767459047003,"[array([[-1.5996328 , -0.76022539],
       [-1.22007943, -0.6952146 ],
       [-0.9076937 , -0.58687409],
       [-0.76487456, -0.4786192 ],
       [ 0.2505112 ,  1.31581539],
       [ 0.8050072 ,  0.78917759],
       [ 1.07828132,  0.91005213],
       [ 1.01475183,  0.92678396],
       [ 1.00115367,  0.99364887],
       [ 1.00000734,  1.00002026],
       [ 1.        ,  1.        ]]), array([[-1.02365334, -0.29381177],
       [-0.49679693, -0.23622024],
       [ 0.00545288,  1.8477106 ],
       [ 0.09932883,  0.30141007],
       [-0.17821681,  1.05708604],
       [-0.16818741,  0.93947568],
       [-0.17599266,  1.03374283],
       [-0.17390265,  1.00936914],
       [-0.17251209,  0.99382865],
       [-0.17230862,  0.99158221],
       [-0.17203215,  0.9900199 ],
       [-0.17205315,  0.99076624],
       [-0.17200682,  0.99070711],
       [-0.17199303,  0.99072854],
       [-0.17199178,  0.99072899],
       [-0.17193578,  0.99073495],
       [-0.1719582 ,  0.99072809],
       [-0.17195667,  0.99073218],
       [-0.17195005,  0.99073287],
       [-0.17195291,  0.99073273],
       [-0.17195204,  0.99073213],
       [-0.17195202,  0.99073291],
       [-0.171952  ,  0.99073247],
       [-0.17195196,  0.99073268],
       [-0.17195195,  0.99073263]]), array([[-0.69052661, -0.05081016],
       [ 0.73673751,  1.6810237 ],
       [ 1.08164994,  1.14261116],
       [ 0.99860752,  1.1109724 ],
       [ 0.99282856,  0.98870689],
       [ 1.00103558,  0.99209409],
       [ 1.00000472,  0.99998313],
       [ 1.        ,  1.        ]]), array([[-1.57400677, -0.19162456],
       [-1.23176828, -0.20952049],
       [-0.77869767, -0.08483091],
       [ 1.31027785,  1.7723356 ],
       [ 1.08323044,  1.69111892],
       [ 1.01784604,  1.17693387],
       [ 1.00442342,  1.02315251],
       [ 1.00005766,  0.99921042],
       [ 1.00000015,  1.00000008],
       [ 1.        ,  1.        ]]), array([[-0.98119634, -1.43899706],
       [-0.64925566, -1.27286653],
       [-0.34163361, -0.64940332],
       [-0.48168255,  2.29896253],
       [-0.37654064,  0.85857181],
       [ 0.48622878,  1.50895001],
       [ 1.15988345,  0.93260191],
       [ 1.02598104,  0.94438509],
       [ 0.9978449 ,  0.95921943],
       [ 1.00566286,  0.99629389],
       [ 0.99995474,  0.99720478],
       [ 1.00000168,  0.99999557],
       [ 1.        ,  1.        ]])]"
2,2,12,4.773138299648308e-07,0.049899625778198245,5.355712948190024e-15,46.4,True,3.3851750538156877,"[array([[-1.5996328 , -0.76022539],
       [ 0.95997852, -0.32189156],
       [ 0.95997851, -0.32189154],
       [-0.55058629,  2.66772875],
       [-0.55058628,  2.66772819],
       [-0.52571884,  0.30995126],
       [ 0.41086596,  1.91515169],
       [ 0.81785258,  0.80742185],
       [ 1.12774421,  0.93662009],
       [ 0.94623295,  0.95592432],
       [ 0.99947839,  0.95592433],
       [ 1.00225562,  1.01035087],
       [ 1.0022556 ,  1.01035085],
       [ 0.99548719,  1.00271044],
       [ 0.99548731,  1.00271042],
       [ 0.99548771,  1.00271037],
       [ 1.00310383,  1.00158689],
       [ 1.0031038 ,  1.00158687],
       [ 1.00310379,  1.00158687],
       [ 0.99771088,  1.00084474],
       [ 0.9977109 ,  1.00084474],
       [ 0.99771138,  1.0008447 ],
       [ 0.99771147,  1.00084469],
       [ 0.99771148,  1.00084469],
       [ 1.00160481,  1.00050545],
       [ 1.00160479,  1.00050545],
       [ 0.99883162,  1.00026103],
       [ 0.99883292,  1.00026097],
       [ 1.00082664,  1.00016214],
       [ 0.99940255,  1.00007958],
       [ 0.99940257,  1.00007958],
       [ 1.00042538,  1.00005271],
       [ 0.99969364,  1.00002375],
       [ 0.99969366,  1.00002375],
       [ 1.00021871,  1.00001747],
       [ 1.00021869,  1.00001747],
       [ 0.99984282,  1.00000681],
       [ 1.00011241,  1.00000595],
       [ 0.99991932,  1.00000181],
       [ 1.00005774,  1.00000211],
       [ 0.99995859,  1.0000004 ],
       [ 1.00002966,  1.00000078],
       [ 0.99997873,  1.00000004],
       [ 0.99997877,  1.00000003],
       [ 1.00001521,  1.00000031],
       [ 0.9999891 ,  0.99999996],
       [ 0.99998928,  0.99999978],
       [ 0.99998929,  0.99999979],
       [ 1.00000768,  1.00000002],
       [ 1.        ,  0.99999996],
       [ 1.        ,  0.99999997]]), array([[-1.02365334, -0.29381177],
       [ 0.92878063,  0.65042223],
       [ 1.15102931,  1.09606267],
       [ 1.15102929,  1.09606266],
       [ 1.15102926,  1.09606266],
       [ 1.15102922,  1.09606265],
       [ 0.92380923,  1.06557342],
       [ 0.92380931,  1.0655734 ],
       [ 1.02857731,  1.0406802 ],
       [ 0.97490015,  1.02198403],
       [ 1.01480361,  1.01299597],
       [ 1.01480359,  1.01299597],
       [ 1.01480356,  1.01299596],
       [ 0.98820249,  1.00700465],
       [ 0.98820252,  1.00700464],
       [ 1.00772878,  1.00413495],
       [ 0.99413845,  1.00219879],
       [ 1.00401519,  1.00131921],
       [ 0.99703287,  1.00068238],
       [ 1.00207699,  1.00042385],
       [ 0.99848695,  1.00020891],
       [ 1.00107112,  1.0001379 ],
       [ 0.99922572,  1.00006268],
       [ 0.99922575,  1.00006268],
       [ 0.99922577,  1.00006268],
       [ 0.99922581,  1.00006268],
       [ 1.0005511 ,  1.00004567],
       [ 1.00055108,  1.00004567],
       [ 0.99960318,  1.00001809],
       [ 0.9996032 ,  1.00001809],
       [ 1.00028338,  1.00001553],
       [ 0.99979639,  1.00000484],
       [ 0.99979641,  1.00000484],
       [ 1.00014559,  1.00000548],
       [ 0.99989553,  1.00000109],
       [ 1.00007478,  1.00000203],
       [ 0.99994637,  1.00000012],
       [ 0.99994656,  1.00000012],
       [ 0.99994658,  1.00000012],
       [ 0.99999999,  1.00000051],
       [ 1.        ,  1.00000034],
       [ 1.        ,  0.99999992],
       [ 1.00000001,  1.00000006],
       [ 1.        ,  1.00000003]]), array([[-0.69052661, -0.05081016],
       [-0.69052661, -0.05081015],
       [ 0.73682061,  1.68323258],
       [ 0.73682063,  1.68323255],
       [ 1.11128284,  1.09446449],
       [ 0.85624051,  1.04685099],
       [ 1.02181445,  1.03180505],
       [ 0.98156666,  1.01727635],
       [ 1.01139564,  1.01012804],
       [ 0.99109748,  1.00547447],
       [ 1.00594401,  1.00321765],
       [ 0.99553951,  1.00171414],
       [ 0.99553971,  1.00171416],
       [ 1.00308318,  1.0010259 ],
       [ 1.00308309,  1.00102589],
       [ 0.9977356 ,  1.0005316 ],
       [ 1.00159219,  1.0003293 ],
       [ 1.0015921 ,  1.00032929],
       [ 0.99884334,  1.00016278],
       [ 1.00082063,  1.00010703],
       [ 1.00082061,  1.00010703],
       [ 1.00082059,  1.00010703],
       [ 0.99940771,  1.00004879],
       [ 1.00042212,  1.0000354 ],
       [ 1.00042143,  1.00003538],
       [ 0.99969686,  1.00001409],
       [ 1.00021655,  1.00001201],
       [ 0.99984443,  1.00000379],
       [ 0.99984445,  1.00000379],
       [ 1.00011129,  1.00000423],
       [ 1.00011127,  1.00000423],
       [ 1.00011125,  1.00000423],
       [ 0.99992018,  1.00000086],
       [ 1.00005714,  1.00000156],
       [ 1.00005704,  1.00000156],
       [ 1.00005686,  1.00000156],
       [ 0.99995923,  1.0000001 ],
       [ 0.99996607,  0.99999733],
       [ 1.00002434,  0.99999896],
       [ 1.00002432,  0.99999896],
       [ 1.00002097,  0.99999897],
       [ 0.99998498,  0.99999914],
       [ 0.99998509,  0.99999914],
       [ 1.00001069,  0.99999972],
       [ 0.99999234,  0.9999997 ],
       [ 0.99999251,  1.00000007],
       [ 0.99999253,  1.00000007],
       [ 0.99999254,  1.00000007],
       [ 0.99999275,  1.00000007],
       [ 1.00000402,  1.00000013],
       [ 0.99999995,  1.00000006],
       [ 1.        ,  1.        ]]), array([[-1.57400677, -0.19162456],
       [ 0.6027888 ,  0.11315095],
       [ 0.6027888 ,  0.11315096],
       [ 0.91877672,  1.2494919 ],
       [ 1.0765233 ,  1.09232557],
       [ 1.07652328,  1.09232557],
       [ 1.07652327,  1.09232556],
       [ 1.0765232 ,  1.09232554],
       [ 1.07652318,  1.09232554],
       [ 1.07652317,  1.09232554],
       [ 1.07652315,  1.09232553],
       [ 0.91414915,  1.04785216],
       [ 1.03006117,  1.03030096],
       [ 1.03006115,  1.03030096],
       [ 0.97374916,  1.01621461],
       [ 1.01551646,  1.0096972 ],
       [ 1.01551642,  1.00969719],
       [ 0.98765686,  1.00516217],
       [ 1.00809436,  1.0030989 ],
       [ 1.00809434,  1.0030989 ],
       [ 0.99386455,  1.00161644],
       [ 1.00420665,  1.00099561],
       [ 1.00420663,  1.00099561],
       [ 1.00420661,  1.00099561],
       [ 0.99689278,  1.00049919],
       [ 1.00217635,  1.00032291],
       [ 0.99841565,  1.00015101],
       [ 0.99842136,  1.00015091],
       [ 0.99842138,  1.00015091],
       [ 1.00111786,  1.00010617],
       [ 0.99919193,  1.00004429],
       [ 0.99919195,  1.00004429],
       [ 0.99919196,  1.00004429],
       [ 0.99919215,  1.00004426],
       [ 1.00057529,  1.0000358 ],
       [ 0.99958588,  1.00001224],
       [ 0.9998347 ,  1.00001233],
       [ 0.99983473,  1.00001233],
       [ 0.99983476,  1.00001233],
       [ 0.9998348 ,  1.00001233],
       [ 0.99983482,  1.00001233],
       [ 1.00011806,  1.00000915],
       [ 1.00011801,  1.00000915],
       [ 1.000118  ,  1.00000915],
       [ 0.99991529,  1.00000352],
       [ 0.99991547,  1.00000352],
       [ 0.9999155 ,  1.00000352],
       [ 0.99999998,  1.00000329],
       [ 0.99999995,  0.99999997],
       [ 1.00000003,  0.99999998],
       [ 1.        ,  1.        ]]), array([[-0.98119634, -1.43899706],
       [ 1.39718397, -0.24851899],
       [ 1.39718388, -0.24851893],
       [ 0.7772066 , -0.24851893],
       [ 0.45038452,  1.94745293],
       [ 0.87424762,  0.76654809],
       [ 1.11950808,  0.93084556],
       [ 1.11950805,  0.93084557],
       [ 1.11950803,  0.93084557],
       [ 0.95284992,  0.95175223],
       [ 0.95284993,  0.95175224],
       [ 1.02460072,  0.97283821],
       [ 0.97974655,  0.98490312],
       [ 1.0128956 ,  0.99170511],
       [ 1.01289557,  0.99170511],
       [ 1.01289551,  0.99170512],
       [ 0.99009855,  0.99524721],
       [ 1.00672516,  0.99745429],
       [ 0.99501106,  0.99849379],
       [ 0.9950112 ,  0.9984938 ],
       [ 1.00348422,  0.9992218 ],
       [ 1.00348421,  0.9992218 ],
       [ 0.99746005,  0.99951871],
       [ 1.00179758,  0.99976444],
       [ 0.99870053,  0.99984395],
       [ 0.99870086,  0.99984396],
       [ 0.99870107,  0.99984397],
       [ 1.00000106,  0.99984398],
       [ 1.00000186,  1.00003459],
       [ 0.99999973,  1.00003444],
       [ 0.99999973,  0.99999885],
       [ 0.99999975,  0.99999885],
       [ 1.00000049,  0.9999997 ],
       [ 0.99999982,  0.9999998 ],
       [ 0.9999999 ,  0.99999989],
       [ 1.00000004,  0.99999993],
       [ 0.99999998,  0.99999996],
       [ 1.00000003,  0.99999999],
       [ 1.        ,  0.99999999]])]"
3,1000,4,4.055837977281994e-07,0.07111854553222656,7.086281647937153,13.6,True,1.4656971320255807,"[[np.float64(8.880001889697349), np.float64(11.227897356928544), np.float64(14.373214090281731), np.float64(33.83906102378206), np.float64(0.8025502005597325), np.float64(0.6464973981903659), np.float64(0.11063910544354232), np.float64(0.2239198163839565), np.float64(0.013390454083014444), np.float64(0.050242140334597576), np.float64(0.01839816213241855), np.float64(0.012439446696220416), np.float64(0.0007709257099838913), np.float64(3.886076273643164e-06), np.float64(1.7991816522926723e-08)], [np.float64(8.852775405054842), np.float64(11.182949310669446), np.float64(14.28596843905075), np.float64(33.29748648580762), np.float64(1.2089081044758005), np.float64(0.1664236566686601), np.float64(0.19020581894546504), np.float64(0.0271463405791309), np.float64(0.046544086004915025), np.float64(0.02640125856122322), np.float64(0.006205444257652301), np.float64(0.00518645336143807), np.float64(0.00014273381000945218), np.float64(2.271343741817123e-06)], [np.float64(8.889442022602708), np.float64(11.187837584908316), np.float64(14.24410940514164), np.float64(32.137715728738264), np.float64(3.0117859862740923), np.float64(0.4871037771609716), np.float64(0.20822244682798577), np.float64(0.03006319133842089), np.float64(0.06086225511688336), np.float64(0.03349205388079756), np.float64(0.00870151240124635), np.float64(0.007047476640802256), np.float64(0.00025778164949616687), np.float64(1.8766695785469981e-06)], [np.float64(8.98580204468694), np.float64(11.211630275681694), np.float64(14.229179913628286), np.float64(32.36955513211387), np.float64(2.6705612639755154), np.float64(0.4454772508774137), np.float64(0.4456515046520279), np.float64(0.1122878433321473), np.float64(0.03295862284921282), np.float64(0.008499123878019106), np.float64(0.0003289318487928556), np.float64(8.381784759507164e-06), np.float64(9.809017106840758e-09)], [np.float64(8.613180878359199), np.float64(11.141411259331186), np.float64(14.485695888446921), np.float64(36.06943575285158), np.float64(2.145460799612597), np.float64(0.41873181122356185), np.float64(0.168331601850907), np.float64(0.01618362048153075), np.float64(0.024433682889154932), np.float64(0.013884775635395561), np.float64(0.0010264681865155617), np.float64(8.678125147679367e-06)]]"
4,1000,8,3.9426768101849317e-07,0.20037126541137695,4.251768988762338,38.0,True,2.2797437765548083,"[[np.float64(8.389661132612236), np.float64(15.523255397199264), np.float64(2.884780593704043), np.float64(1.8679746814678078), np.float64(2.593427981409629), np.float64(0.8299334870555317), np.float64(0.6638974716058903), np.float64(2.301704926233847), np.float64(0.5045765106022929), np.float64(37.332584817716686), np.float64(3.2523394073046257), np.float64(0.9668995135914185), np.float64(0.700626794421654), np.float64(0.12678723858430416), np.float64(0.020662322342793936), np.float64(0.05270187182825573), np.float64(0.005044235190883962), np.float64(0.020306186903366486), np.float64(0.001840108433467089), np.float64(0.002906845733144301), np.float64(0.00014370049933396675), np.float64(0.0007019953849052102), np.float64(0.00011702224754537236), np.float64(8.979354724734154e-06), np.float64(0.00031892901107648605), np.float64(4.7063433440733846e-05), np.float64(3.2798452530578393e-06), np.float64(4.9246159462369315e-06), np.float64(1.3796492603029522e-06), np.float64(1.2959822007442321e-06), np.float64(5.319395587664243e-05), np.float64(9.983645801763354e-07), np.float64(1.478652010377689e-07), np.float64(2.399317352614047e-05), np.float64(5.969802504209527e-07), np.float64(1.058784252928292e-06), np.float64(8.205728542088931e-07), np.float64(7.14062271947634e-07), np.float64(8.258023408338498e-06), np.float64(7.913303734834931e-07), np.float64(6.779116857091505e-07), np.float64(3.2312371997455073e-07), np.float64(1.6822988428328633e-07), np.float64(1.1340316542082233e-07), np.float64(1.7985400482979742e-07), np.float64(7.525948689032569e-07), np.float64(1.9954131803945883e-07), np.float64(1.6099978051667336e-07), np.float64(6.450327351673333e-08), np.float64(6.664989188474505e-07), np.float64(4.162841323502181e-08), np.float64(1.9486796402871063e-07), np.float64(1.6088833253339017e-08)], [np.float64(8.877692786894055), np.float64(22.01052477993284), np.float64(45.23822487459467), np.float64(4.374014441388961), np.float64(2.4273840804152935), np.float64(0.49177536085839535), np.float64(0.04587498855644483), np.float64(0.21576891774810159), np.float64(0.034089966970397075), np.float64(0.08372511156706518), np.float64(0.004426143634307273), np.float64(0.0014414076028892988), np.float64(0.003892588314114891), np.float64(0.00036722299639646187), np.float64(0.0003250636539574643), np.float64(0.00014051903216581033), np.float64(0.003970555455319253), np.float64(0.00031501239966466214), np.float64(0.00015238826848745305), np.float64(0.00011158489096136187), np.float64(0.00016024311097097383), np.float64(0.0015210637399849078), np.float64(0.00014269599390314916), np.float64(0.0008828046201948778), np.float64(2.4620613709524075e-05), np.float64(0.00019517887588874368), np.float64(4.380648926697914e-05), np.float64(2.7583975789461067e-05), np.float64(0.00016686900608854), np.float64(2.0777124649102043e-05), np.float64(1.3734599015938197e-05), np.float64(3.1673608482551435e-06), np.float64(8.192182455904208e-08), np.float64(2.240856847275984e-08), np.float64(1.8338105338657985e-08), np.float64(6.44984446320969e-09), np.float64(3.742252863471762e-07), np.float64(2.2057223166634888e-08), np.float64(6.55603140925528e-09)], [np.float64(9.11827047439189), np.float64(10.630079130370676), np.float64(6.7658325251831), np.float64(1.8076426179624787), np.float64(49.89691020146224), np.float64(5.817130920541987), np.float64(3.4430837893321127), np.float64(1.003531928410152), np.float64(0.08194505667483865), np.float64(0.15934706997588013), np.float64(0.012441015730696682), np.float64(0.02713924957303119), np.float64(0.0006788117403993127), np.float64(0.001213677727510439), np.float64(0.0005214984274839911), np.float64(0.00016714846119637102), np.float64(0.3145177129708752), np.float64(0.8910364699855757), np.float64(0.33329021657268987), np.float64(0.09324771144326251), np.float64(0.2273501889068433), np.float64(0.03995128355810961), np.float64(0.002433392477165434), np.float64(0.0019191540480434984), np.float64(6.990364501588887e-06), np.float64(9.059749563079532e-07)], [np.float64(9.049591397004395), np.float64(14.256157016032665), np.float64(5.459937607151585), np.float64(49.250492482593714), np.float64(5.710811928322242), np.float64(3.1311633241031926), np.float64(0.861763272137483), np.float64(0.21755078408480205), np.float64(0.20292110419371506), np.float64(0.12468249032983125), np.float64(0.016180846216043297), np.float64(0.024776196467418025), np.float64(0.04021666471231589), np.float64(0.0007933293374946618), np.float64(0.9851666499800006), np.float64(0.16060809464918555), np.float64(0.038815577493615507), np.float64(0.009387108206285917), np.float64(0.002775448207313724), np.float64(0.0042579991177261805), np.float64(0.00015429971417479872), np.float64(8.489194835091384e-05), np.float64(1.3890596573121442e-07)], [np.float64(10.346521867371107), np.float64(46.84587607913052), np.float64(22.63317473991284), np.float64(3.5919944346081523), np.float64(0.3555447029847653), np.float64(4.382989064722584), np.float64(5.65208785471813), np.float64(1.3078153723198425), np.float64(0.9978658218389398), np.float64(0.35282061306499973), np.float64(0.20729145479233183), np.float64(0.029884160830809265), np.float64(0.05945282022401008), np.float64(0.003409305460863792), np.float64(0.007058449154998326), np.float64(0.014797598351043915), np.float64(0.001864130536260553), np.float64(0.00017121584257124347), np.float64(0.00010218369479275381), np.float64(0.00016222058945029313), np.float64(8.215982514188311e-05), np.float64(4.381176320330231e-05), np.float64(6.195233221783708e-05), np.float64(4.2348297309916746e-05), np.float64(1.0432082792558282e-05), np.float64(0.0004864968992891457), np.float64(2.2388582604678788e-05), np.float64(0.00012118296319882518), np.float64(1.5013808331022907e-05), np.float64(7.583756221201294e-06), np.float64(2.582048557453097e-06), np.float64(2.3648887405857586e-05), np.float64(5.649035072572535e-07), np.float64(7.307002704068964e-07), np.float64(1.9522266041593655e-06), np.float64(6.321072324846265e-07), np.float64(1.2866618056282108e-06), np.float64(4.429254155601869e-07), np.float64(9.071778955034022e-08), np.float64(4.911682663386465e-08), np.float64(6.558767261884085e-08), np.float64(3.2051519978488084e-06), np.float64(3.709538658221162e-07), np.float64(2.986196819806369e-07), np.float64(4.5416203026353396e-07), np.float64(1.0174169022083557e-07), np.float64(6.293414304161763e-08), np.float64(2.9190995403823737e-08), np.float64(9.324263641645287e-09)]]"
