Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p52,2,nm,Mixed FD,scalar,8.0,1e-06,random,rand1,14,7.879843521452643e-10,1000,1000,,True,-,1.9959079222303655,0.003959178924560547,7.377087715843667,8,4.6837462907698595e-06
p52,2,tr,Mixed FD,scalar,8.0,1e-06,random,rand1,14,6.082996570953659e-09,7,1000,1000.0,True,-,1.6137351510705842,0.0033998489379882812,7.377087715843669,8,2.4257555374471484e-05
p52,2,nm,Mixed FD,scalar,8.0,1e-06,random,rand2,15,1.8830030856684238e-07,1000,1000,,True,-,2.0178322965704716,0.006124973297119141,1.738531194481972e-16,11,2.675043412017397e-05
p52,2,tr,Mixed FD,scalar,8.0,1e-06,random,rand2,15,1.5243773002443922e-10,9,1000,1000.0,True,-,5.9230990644826305,0.003720998764038086,1.2454359929922763e-22,10,1.1613061368045636e-06
p52,2,nm,Mixed FD,scalar,8.0,1e-06,random,rand3,16,1.6137244523578335e-09,1000,1000,,True,-,1.8777866595661954,0.002707958221435547,1.2975319539997773e-20,6,2.7222420312433607e-06
p52,2,tr,Mixed FD,scalar,8.0,1e-06,random,rand3,16,2.0879781499483987e-09,5,1000,1000.0,True,-,1.7215107235119274,0.002048015594482422,2.2554961163003863e-20,6,3.7619770428686057e-06
p52,2,nm,Mixed FD,scalar,8.0,1e-06,random,rand4,17,4.8491742807853574e-12,1000,1000,,True,-,1.9992807119098825,0.0033349990844726562,7.377087715843668,8,3.7183159689730587e-07
p52,2,tr,Mixed FD,scalar,8.0,1e-06,random,rand4,17,1.7514481338546488e-07,7,1000,1000.0,True,-,2.065776274495563,0.002560853958129883,7.377087715843668,8,4.740093731521081e-07
p52,2,nm,Mixed FD,scalar,8.0,1e-06,random,rand5,18,2.8069493284452932e-11,1000,1000,,True,-,1.8825644273836195,0.005063056945800781,3.923868788532469e-24,7,3.62317792297437e-07
p52,2,tr,Mixed FD,scalar,8.0,1e-06,random,rand5,18,1.701507713675381e-08,7,1000,1000.0,True,-,2.114235288315016,0.0025599002838134766,7.377087715843668,8,4.188668227405298e-07
p52,2,nm,Mixed FD,scalar,12.0,1e-06,initial,xbar,19,1.649020951756189e-10,1000,1000,,True,-,1.8768525410977273,0.0037119388580322266,1.9223076568885763e-22,7,1.5478312189634423e-08
p52,2,tr,Mixed FD,scalar,12.0,1e-06,initial,xbar,19,9.997254216494124e-09,7,1000,1000.0,True,-,1.9910824551554176,0.002311229705810547,7.377087715843669,8,1.377381900797853e-05
p52,2,nm,Mixed FD,scalar,12.0,1e-06,random,rand1,20,3.265490591979429e-09,1000,1000,,True,-,1.993780753476762,0.003242969512939453,7.377087715843669,8,4.7039806508206065e-06
p52,2,tr,Mixed FD,scalar,12.0,1e-06,random,rand1,20,3.5113263657298936e-08,7,1000,1000.0,True,-,1.6172390931139564,0.0025870800018310547,7.377087715843668,8,2.4103216825796527e-05
p52,2,nm,Mixed FD,scalar,12.0,1e-06,random,rand2,21,1.4516391528709315e-08,1000,1000,,True,-,1.9955540282956317,0.006256818771362305,1.0608992153050664e-18,11,1.56616868570887e-06
p52,2,tr,Mixed FD,scalar,12.0,1e-06,random,rand2,21,5.2512546211660376e-09,9,1000,1000.0,True,-,6.001183799661775,0.0037491321563720703,1.4347646530761297e-19,10,1.0849275512898152e-06
p52,2,nm,Mixed FD,scalar,12.0,1e-06,random,rand3,22,4.357357061210972e-08,1000,1000,,True,-,1.8811747855778076,0.002699136734008789,1.0452342522796699e-17,6,4.234081152288437e-06
p52,2,tr,Mixed FD,scalar,12.0,1e-06,random,rand3,22,2.5062339062429076e-08,5,1000,1000.0,True,-,1.7109106788516921,0.0017092227935791016,3.97448573394635e-18,6,3.879574566909789e-06
p52,2,nm,Mixed FD,scalar,12.0,1e-06,random,rand4,23,2.176369764085293e-10,1000,1000,,True,-,2.008027956807155,0.004014730453491211,7.377087715843669,8,3.6288062834799484e-07
p52,2,tr,Mixed FD,scalar,12.0,1e-06,random,rand4,23,5.706136559228604e-10,7,1000,1000.0,True,-,2.0481286203134466,0.0022268295288085938,7.37708771584367,8,4.82587590526361e-07
p52,2,nm,Mixed FD,scalar,12.0,1e-06,random,rand5,24,3.273839313890796e-09,1000,1000,,True,-,1.8604907114543507,0.004647970199584961,5.622265583645537e-20,7,3.9578976308919756e-07
p52,2,tr,Mixed FD,scalar,12.0,1e-06,random,rand5,24,4.3755737528176613e-10,7,1000,1000.0,True,-,2.1516939873652268,0.002772092819213867,7.377087715843671,8,3.984703616564357e-07
