,n,k,norm_gradient,time,final_score,converges,iterations,conv,path
0,2,4,7.791188625997341e-07,0.017229080200195312,2.7698361944286755e-14,True,12,2.680997709510106,"[[-1.         -1.        ]
 [-0.72432892 -0.60649742]
 [-0.53979628 -0.41568733]
 [-0.45752392 -0.37027109]
 [-0.44853196 -0.38174557]
 [-0.45312752 -0.38630336]
 [-0.45357383 -0.38561554]
 [-0.45329903 -0.38535232]
 [-0.45327256 -0.38539268]
 [-0.45328869 -0.38540815]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
1,2,8,7.779772799933532e-07,0.010910272598266602,2.7695941736079266e-14,True,12,2.686718006191061,"[[-1.         -1.        ]
 [-0.72435897 -0.60653235]
 [-0.53983163 -0.41571927]
 [-0.45754165 -0.37027822]
 [-0.44853153 -0.38174071]
 [-0.45312573 -0.3863022 ]
 [-0.45357381 -0.38561592]
 [-0.45329918 -0.38535243]
 [-0.45327257 -0.38539265]
 [-0.45328868 -0.38540814]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
2,2,12,7.784878152304349e-07,0.011066913604736328,2.7753551317461587e-14,True,12,2.686889077417319,"[[-1.         -1.        ]
 [-0.72435724 -0.60653697]
 [-0.53980583 -0.41571466]
 [-0.45754841 -0.3702868 ]
 [-0.44853091 -0.38173884]
 [-0.45312559 -0.38630257]
 [-0.45357395 -0.38561608]
 [-0.45329917 -0.38535238]
 [-0.45327256 -0.38539265]
 [-0.45328868 -0.38540814]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
3,1000,4,1.6607849959019841e-06,0.02791452407836914,7.154692483240542e-14,True,16,1.1351013840100723,"[np.float64(6.3368750376355205), np.float64(2.5044714320102646), np.float64(0.4389436810729397), np.float64(0.022925428563984517), np.float64(0.007600574656028331), np.float64(0.0024419499212930285), np.float64(0.0010420164710194348), np.float64(0.0003631615212741053), np.float64(0.0001553799216215271), np.float64(5.6270532124059376e-05), np.float64(2.4105051961290912e-05), np.float64(8.940115950525339e-06), np.float64(3.827782747922024e-06), np.float64(1.4427673662286421e-06), np.float64(6.171494235362989e-07), np.float64(2.3537381475904352e-07)]"
4,1000,8,1.6591519625757892e-06,0.02751922607421875,7.142436385285355e-14,True,16,1.1348167024314189,"[np.float64(6.335737416571626), np.float64(2.504756388778927), np.float64(0.43963224292195036), np.float64(0.023016380194076442), np.float64(0.007601467808702772), np.float64(0.002442152512731126), np.float64(0.0010418816427231615), np.float64(0.00036311971096247907), np.float64(0.0001553296873639123), np.float64(5.62530431421752e-05), np.float64(2.409254098147302e-05), np.float64(8.935568016993887e-06), np.float64(3.8250387508957915e-06), np.float64(1.4417440066636017e-06), np.float64(6.165830564071842e-07), np.float64(2.3515899680706158e-07)]"
5,1000,12,1.6582794314786707e-06,0.02630782127380371,7.135959563446357e-14,True,16,1.1346972557390191,"[np.float64(6.336295458992376), np.float64(2.5039017377146755), np.float64(0.4400224410270153), np.float64(0.022959058520198604), np.float64(0.007598642161865034), np.float64(0.002441344118128348), np.float64(0.001041154430872489), np.float64(0.0003628695021148852), np.float64(0.0001552330747407118), np.float64(5.622028238914333e-05), np.float64(2.407639523255428e-05), np.float64(8.93142276680678e-06), np.float64(3.823559789959734e-06), np.float64(1.4411277951594126e-06), np.float64(6.162958447809127e-07), np.float64(2.3506305797419958e-07)]"
6,10000,4,1.6607849959019841e-06,0.12268543243408203,7.154692483240543e-14,True,16,1.1351013840100723,"[np.float64(20.007139159873923), np.float64(7.8897642224091395), np.float64(1.3627783195492575), np.float64(0.04380207935038218), np.float64(0.00760060535124249), np.float64(0.0024419499212992722), np.float64(0.0010420164710194348), np.float64(0.0003631615212741053), np.float64(0.0001553799216215271), np.float64(5.6270532124059376e-05), np.float64(2.4105051961290912e-05), np.float64(8.940115950525339e-06), np.float64(3.827782747922024e-06), np.float64(1.4427673662286421e-06), np.float64(6.171494235362989e-07), np.float64(2.3537381475904352e-07)]"
7,10000,8,1.659151962575789e-06,0.11022090911865234,7.142436385285355e-14,True,16,1.1348167024314193,"[np.float64(20.003539251338825), np.float64(7.890671155682994), np.float64(1.3649797031267774), np.float64(0.04423601830810255), np.float64(0.007601534833210715), np.float64(0.0024421525127311266), np.float64(0.0010418816427231617), np.float64(0.00036311971096247907), np.float64(0.0001553296873639123), np.float64(5.6253043142175194e-05), np.float64(2.409254098147302e-05), np.float64(8.935568016993887e-06), np.float64(3.8250387508957915e-06), np.float64(1.4417440066636017e-06), np.float64(6.165830564071843e-07), np.float64(2.3515899680706158e-07)]"
8,10000,12,1.658279431478671e-06,0.10776805877685547,7.13595956344636e-14,True,16,1.1346972557390198,"[np.float64(20.005312742409956), np.float64(7.887903225599565), np.float64(1.3663074859186708), np.float64(0.04393593840045345), np.float64(0.007598694448001884), np.float64(0.002441344118129334), np.float64(0.001041154430872489), np.float64(0.0003628695021148852), np.float64(0.0001552330747407118), np.float64(5.622028238914333e-05), np.float64(2.407639523255428e-05), np.float64(8.931422766806778e-06), np.float64(3.823559789959735e-06), np.float64(1.4411277951594126e-06), np.float64(6.162958447809128e-07), np.float64(2.3506305797419955e-07)]"
9,100000,4,1.6607849959019841e-06,1.725632667541504,7.154692483240542e-14,True,16,1.1351013840100723,"[np.float64(63.25805828953425), np.float64(24.94009628689767), np.float64(4.301406360602302), np.float64(0.12589317281395956), np.float64(0.007600912296566383), np.float64(0.0024419499213617106), np.float64(0.0010420164710194348), np.float64(0.0003631615212741053), np.float64(0.0001553799216215271), np.float64(5.627053212405937e-05), np.float64(2.4105051961290912e-05), np.float64(8.940115950525339e-06), np.float64(3.827782747922024e-06), np.float64(1.4427673662286421e-06), np.float64(6.171494235362989e-07), np.float64(2.3537381475904352e-07)]"
