,method,tol,n,time,iterations,converges,final_score,norm_gradient
0,Newton,0.0001,2,0.010474061965942383,9.4,True,7.565916796476196e-11,4.728177664413191e-05
1,Newton,0.0001,1000,0.03381991386413574,15.6,True,1.7690610597426695e-09,0.0002593285985925422
2,Newton,0.0001,10000,0.1259282112121582,16.8,True,1.6802412421292813e-09,0.00023739436084871594
3,Newton,0.0001,100000,1.6658204555511475,16.2,True,5.055527203223207e-08,0.0010828566463729928
4,Newton,1e-05,2,0.0119293212890625,10.8,True,6.859767948622811e-13,5.797852715776582e-06
5,Newton,1e-05,1000,0.037005949020385745,18.0,True,1.7424372716785185e-11,2.5876908789075095e-05
6,Newton,1e-05,10000,0.13121376037597657,18.8,True,3.713514229233373e-11,3.5203286456927035e-05
7,Newton,1e-05,100000,1.7679755210876464,18.8,True,1.8883294903897752e-10,7.451770232116939e-05
8,Newton,1e-06,2,0.013678264617919923,12.4,True,1.099087316266516e-14,5.374511080384808e-07
9,Newton,1e-06,1000,0.04068350791931152,20.6,True,1.2785489417408653e-13,2.1875824413068912e-06
10,Newton,1e-06,10000,0.1464315414428711,21.4,True,3.208643015973291e-13,3.0859269205499495e-06
11,Newton,1e-06,100000,1.8880419254302978,21.0,True,3.948146370007972e-12,1.0161552722370453e-05
12,Newton,1e-08,2,0.016941404342651366,15.6,True,5.886389421204593e-19,4.094985944567801e-09
13,Newton,1e-08,1000,0.04893274307250976,25.4,True,1.6038717545866398e-17,2.3697852632375466e-08
14,Newton,1e-08,10000,0.16674551963806153,26.0,True,6.039900574870134e-17,4.2571619679819816e-08
15,Newton,1e-08,100000,2.171471643447876,26.0,True,3.0214706891629723e-16,8.876878012715761e-08
