,n,rho,C1,norm_gradient,time,final_score,converges,iterations,path
10,10000,0.2,0.6,1.551945137790665e-05,0.408095121383667,1.4940867530007876e-11,True,77,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.94408628 -0.95595226 -0.95899668 ... -0.96177582 -0.96111189
  -0.92707382]
 [-0.89374486 -0.91651477 -0.92235078 ... -0.92722592 -0.92411668
  -0.86099501]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603531
  -0.41641232]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.6657975  -0.59603532
  -0.41641232]]"
11,100000,0.2,0.6,4.8806729017785226e-05,4.503236293792725,1.4876857437837682e-10,True,77,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.94408628 -0.95595226 -0.95899668 ... -0.96177582 -0.96111189
  -0.92707382]
 [-0.89374486 -0.91651477 -0.92235078 ... -0.92722592 -0.92411668
  -0.86099501]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603531
  -0.41641232]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.6657975  -0.59603532
  -0.41641232]]"
12,2,0.2,0.8,8.372509440980717e-07,0.09723448753356934,1.8361873569540977e-14,True,90,"[[-1.         -1.        ]
 [-0.94478822 -0.92370081]
 [-0.89311794 -0.85443518]
 [-0.84493523 -0.79180513]
 [-0.80018912 -0.73543102]
 [-0.75882874 -0.68494715]
 [-0.72079994 -0.63999737]
 [-0.68604143 -0.60023081]
 [-0.65448067 -0.56529813]
 [-0.6260297  -0.5348485 ]
 [-0.60058163 -0.50852777]
 [-0.57800803 -0.48597824]
 [-0.55815793 -0.4668401 ]
 [-0.54085866 -0.45075462]
 [-0.52591867 -0.43736877]
 [-0.51313216 -0.42634081]
 [-0.5022849  -0.41734602]
 [-0.4931607  -0.41008197]
 [-0.48554766 -0.40427269]
 [-0.47924364 -0.3996713 ]
 [-0.47406053 -0.3960612 ]
 [-0.46982708 -0.39325566]
 [-0.46639048 -0.39109635]
 [-0.4636167  -0.38945101]
 [-0.4613899  -0.38821061]
 [-0.45961133 -0.38728636]
 [-0.45819769 -0.38660673]
 [-0.45707944 -0.38611465]
 [-0.456199   -0.38576504]
 [-0.45550908 -0.38552256]
 [-0.45540147 -0.38549   ]
 [-0.45529868 -0.38545977]
 [-0.45520051 -0.38543175]
 [-0.45510676 -0.38540582]
 [-0.45501724 -0.38538186]
 [-0.45493178 -0.38535976]
 [-0.45485021 -0.38533941]
 [-0.45477236 -0.38532072]
 [-0.45469807 -0.38530357]
 [-0.45462719 -0.3852879 ]
 [-0.45455958 -0.3852736 ]
 [-0.45449509 -0.3852606 ]
 [-0.45418757 -0.38520171]
 [-0.45395157 -0.38517147]
 [-0.45377156 -0.3851611 ]
 [-0.4536352  -0.38516409]
 [-0.45353268 -0.38517566]
 [-0.45345628 -0.38519234]
 [-0.45339992 -0.38521169]
 [-0.45335885 -0.385232  ]
 [-0.45332937 -0.38525213]
 [-0.45330859 -0.38527132]
 [-0.45329432 -0.38528915]
 [-0.45328483 -0.38530538]
 [-0.45327884 -0.38531991]
 [-0.45327537 -0.38533277]
 [-0.45327366 -0.38534401]
 [-0.45327318 -0.38535377]
 [-0.45327351 -0.38536216]
 [-0.45327435 -0.38536933]
 [-0.4532755  -0.38537542]
 [-0.45327679 -0.38538056]
 [-0.45327813 -0.38538489]
 [-0.45327945 -0.38538851]
 [-0.4532807  -0.38539152]
 [-0.45328185 -0.38539402]
 [-0.4532829  -0.38539609]
 [-0.45328383 -0.38539779]
 [-0.45328466 -0.38539918]
 [-0.45328538 -0.38540033]
 [-0.453286   -0.38540126]
 [-0.45328654 -0.38540202]
 [-0.453287   -0.38540263]
 [-0.45328738 -0.38540313]
 [-0.45328771 -0.38540353]
 [-0.45328799 -0.38540385]
 [-0.45328822 -0.3854041 ]
 [-0.45328841 -0.38540431]
 [-0.45328857 -0.38540447]
 [-0.4532887  -0.3854046 ]
 [-0.45328881 -0.3854047 ]
 [-0.45328889 -0.38540478]
 [-0.45328897 -0.38540485]
 [-0.45328902 -0.38540489]
 [-0.45328907 -0.38540493]
 [-0.45328911 -0.38540496]
 [-0.45328914 -0.38540499]
 [-0.45328917 -0.385405  ]
 [-0.45328919 -0.38540502]
 [-0.4532892  -0.38540503]
 [-0.45328922 -0.38540503]]"
13,1000,0.2,0.8,5.170012421336792e-06,0.12148284912109375,1.5580968451709206e-12,True,77,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.94408628 -0.95595226 -0.95899668 ... -0.96177582 -0.96111189
  -0.92707382]
 [-0.89374486 -0.91651477 -0.92235078 ... -0.92722592 -0.92411668
  -0.86099501]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603531
  -0.41641232]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.6657975  -0.59603532
  -0.41641232]]"
14,10000,0.2,0.8,1.551945137790665e-05,0.3878045082092285,1.4940867530007876e-11,True,77,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.94408628 -0.95595226 -0.95899668 ... -0.96177582 -0.96111189
  -0.92707382]
 [-0.89374486 -0.91651477 -0.92235078 ... -0.92722592 -0.92411668
  -0.86099501]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603531
  -0.41641232]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.6657975  -0.59603532
  -0.41641232]]"
15,100000,0.2,0.8,4.8806729017785226e-05,4.426778554916382,1.4876857437837682e-10,True,77,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.94408628 -0.95595226 -0.95899668 ... -0.96177582 -0.96111189
  -0.92707382]
 [-0.89374486 -0.91651477 -0.92235078 ... -0.92722592 -0.92411668
  -0.86099501]
 ...
 [-0.57076124 -0.68191016 -0.70248606 ... -0.66579747 -0.59603531
  -0.41641233]
 [-0.57076123 -0.68191015 -0.70248605 ... -0.66579748 -0.59603531
  -0.41641232]
 [-0.57076122 -0.68191015 -0.70248605 ... -0.6657975  -0.59603532
  -0.41641232]]"
16,2,0.4,0.2,5.577018880458987e-07,0.013814210891723633,5.892302726636391e-15,True,12,"[[-1.         -1.        ]
 [-0.72394112 -0.61850406]
 [-0.54106429 -0.42988761]
 [-0.4593588  -0.37610709]
 [-0.44876412 -0.38085579]
 [-0.45277158 -0.38564002]
 [-0.45349538 -0.38564374]
 [-0.45332566 -0.38540514]
 [-0.45328073 -0.38539304]
 [-0.453287   -0.38540444]
 [-0.45328958 -0.38540563]
 [-0.45328939 -0.38540511]
 [-0.45328925 -0.38540503]]"
17,1000,0.4,0.2,7.338506970822153e-07,0.02547001838684082,1.4353770819274737e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
18,10000,0.4,0.2,7.338506970822154e-07,0.07955121994018555,1.4353770819274733e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
19,100000,0.4,0.2,7.338506970822153e-07,0.9155802726745605,1.4353770819274737e-14,True,16,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.72043139 -0.77976131 -0.79498339 ... -0.80887911 -0.80555947
  -0.63536909]
 [-0.59737706 -0.69123704 -0.71430543 ... -0.71977387 -0.66537093
  -0.45958254]
 ...
 [-0.5707612  -0.68191014 -0.70248603 ... -0.66579734 -0.59603519
  -0.4164123 ]
 [-0.5707612  -0.68191013 -0.70248601 ... -0.6657975  -0.59603535
  -0.41641234]
 [-0.57076119 -0.68191013 -0.70248602 ... -0.66579755 -0.59603534
  -0.41641231]]"
