,method,tol,n,time,iterations,converges,final_score,norm_gradient
0,Truncated Newton Initial Points,0.0001,2,0.024261474609375,9.0,True,4.6891999636141534e-11,4.61229857200871e-05
1,Truncated Newton Initial Points,0.0001,1000,0.09768557548522949,15.0,True,3.979526572409839e-11,4.115614300427959e-05
2,Truncated Newton Initial Points,0.0001,10000,0.40162181854248047,14.0,True,2.0137649972989622e-10,8.649892348897118e-05
3,Truncated Newton Initial Points,0.0001,100000,11.689270496368408,14.0,True,2.0102135045869896e-10,8.571799033917486e-05
4,Truncated Newton Initial Points,1e-06,2,0.03308820724487305,12.0,True,5.892302726636392e-15,5.577018880458987e-07
5,Truncated Newton Initial Points,1e-06,1000,0.1207418441772461,19.0,True,2.37063747335824e-14,8.85130868020462e-07
6,Truncated Newton Initial Points,1e-06,10000,0.5102074146270752,19.0,True,1.9330706724969183e-14,7.861668483059093e-07
7,Truncated Newton Initial Points,1e-06,100000,12.46629810333252,19.0,True,2.0353514644567064e-14,8.226383427227184e-07
8,Truncated Newton Initial Points,1e-08,2,0.040468454360961914,15.0,True,1.0837620378970278e-18,4.834793577382448e-09
9,Truncated Newton Initial Points,1e-08,1000,0.22642040252685547,34.0,True,1.260227133983322e-18,7.555029896412407e-09
10,Truncated Newton Initial Points,1e-08,10000,0.7254266738891602,32.0,True,2.184945062448549e-18,9.364072743723959e-09
11,Truncated Newton Initial Points,1e-08,100000,8.844961404800415,34.0,True,8.269669932774254e-19,5.625402702258732e-09
12,Truncated Newton Random Points,1e-06,2,0.02740330696105957,12.4,True,1.099087316266516e-14,5.374511080384808e-07
13,Truncated Newton Random Points,1e-06,1000,5.027574777603149,999.0,False,120.97981363376736,36.072620931819095
14,Truncated Newton Random Points,1e-06,10000,20.954358720779418,999.0,False,2123.4349793237716,224.81147756925202
15,Truncated Newton Random Points,1e-06,100000,234.82038383483888,999.0,False,352332.18517720397,7507.3452857047305
