,n,rho,C1,norm_gradient,time,final_score,iterations,converges
0,100000,0.2,0.2,4.285164129891364e-05,4.839293479919434,5.3604763473097186e-11,63.6,True
1,100000,0.2,0.4,4.285164129891364e-05,4.778493738174438,5.3604763473097186e-11,63.6,True
2,100000,0.2,0.6,4.285164129891364e-05,4.6670694828033445,5.3604763473097186e-11,63.6,True
3,100000,0.2,0.8,4.285164129891364e-05,4.646264982223511,5.3604763473097186e-11,63.6,True
4,100000,0.4,0.2,4.285164129891364e-05,4.652611112594604,5.3604763473097186e-11,63.6,True
5,100000,0.4,0.4,4.285164129891364e-05,5.074566745758057,5.3604763473097186e-11,63.6,True
6,100000,0.4,0.6,4.285164129891364e-05,4.661978483200073,5.3604763473097186e-11,63.6,True
7,100000,0.4,0.8,4.285164129891364e-05,4.646051359176636,5.3604763473097186e-11,63.6,True
8,100000,0.6,0.2,4.285164129891364e-05,4.641302013397217,5.3604763473097186e-11,63.6,True
9,100000,0.6,0.4,4.285164129891364e-05,4.645500564575196,5.3604763473097186e-11,63.6,True
10,100000,0.6,0.6,4.285164129891364e-05,4.6404825210571286,5.3604763473097186e-11,63.6,True
11,100000,0.6,0.8,4.285164129891364e-05,4.6453001499176025,5.3604763473097186e-11,63.6,True
12,100000,0.8,0.2,4.285164129891364e-05,4.644912910461426,5.3604763473097186e-11,63.6,True
13,100000,0.8,0.4,4.285164129891364e-05,4.7646630764007565,5.3604763473097186e-11,63.6,True
14,100000,0.8,0.6,4.285164129891364e-05,4.675392436981201,5.3604763473097186e-11,63.6,True
15,100000,0.8,0.8,4.285164129891364e-05,4.639875364303589,5.3604763473097186e-11,63.6,True
