,n,mode,k,norm_gradient,time,final_score,iterations,converges,paths
0,100000,scalar,4,1.7405012725599384e-06,2.043777513504028,1.740224767834885e-13,15.4,True,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.60491591, -0.85317446, -1.29229538, ..., -0.9378739 ,
        -1.31275091, -0.71543257],
       [-0.60491493, -0.85316806, -1.29226198, ..., -0.93786248,
        -1.31271206, -0.71542104],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(23, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.83147718, -1.32724349, -1.10617695, ..., -0.1507551 ,
        -0.38319215, -0.66582505],
       [-0.71555455, -0.95726199, -0.89680521, ..., -0.99637795,
        -0.79801383, -0.56004847],
       ...,
       [-0.5707612 , -0.68191013, -0.70248601, ..., -0.66579754,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579753,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(14, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.73167104, -0.9443803 , -1.41421346, ..., -1.00066783,
        -1.28094467, -1.29841195],
       [-0.63588253, -0.83831313, -1.0348261 , ..., -0.83210328,
        -0.95012595, -0.83996137],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603532, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.77968719, -0.83935873, -0.90037709, ..., -0.82767927,
        -0.89565093, -0.96014085],
       [-0.63687205, -0.75067956, -0.77912314, ..., -0.7357144 ,
        -0.75440866, -0.64372869],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.1827795 , -0.95825715, -1.17083639, ..., -0.91679784,
        -0.86178558, -0.64416781],
       [-0.82195309, -0.86237577, -0.92914333, ..., -0.76863768,
        -0.71084521, -0.50563669],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000))]"
1,100000,scalar,8,2.1451452518933868e-06,2.7473075866699217,1.965431866876501e-13,20.0,True,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62065721, -0.65670206, -1.64010951, ..., -0.1851643 ,
        -1.69687993, -0.53191647],
       [-0.61074628, -0.69630674, -1.52470648, ..., -0.24830018,
        -1.49273156, -0.57217999],
       ...,
       [-0.57076119, -0.68191013, -0.70248603, ..., -0.66579752,
        -0.59603532, -0.41641231],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(18, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.57223886, -1.62791788, -0.31100859, ..., -0.10832817,
        -0.22691452, -0.89380933],
       [-0.61320679, -1.47073436, -0.38808065, ..., -0.10477486,
        -0.24798629, -0.83886097],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(22, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.8216697 , -0.80481071, -1.77239296, ..., -1.20058651,
        -1.57057178, -1.7333486 ],
       [-0.79881424, -0.847375  , -1.62895562, ..., -1.15263288,
        -1.50510519, -1.56346359],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(21, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.91897587, -0.82233501, -1.01845982, ..., -0.90789172,
        -0.90568901, -1.28802501],
       [-0.89163227, -0.83453079, -0.98978566, ..., -0.89200633,
        -0.91935563, -1.19879576],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(22, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.53384115, -0.87764715, -0.20465235, ..., -1.03336782,
        -0.95637691, -0.74850528],
       [-1.39543784, -0.87341611, -0.29055385, ..., -1.01105684,
        -0.94391028, -0.73024558],
       ...,
       [-0.57076119, -0.68191013, -0.70248603, ..., -0.66579752,
        -0.59603532, -0.41641231],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(22, 100000))]"
2,100000,scalar,12,14244.946932052291,118.30609240531922,1054284.3923147148,1000.0,False,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       ...,
       [-0.62816118, -0.62344581, -1.73715666, ..., -0.13173827,
        -1.86389187, -0.46590764],
       [-0.62816118, -0.62344581, -1.73715666, ..., -0.13173827,
        -1.86389186, -0.46590764],
       [-0.62816118, -0.62344581, -1.73715666, ..., -0.13173827,
        -1.86389186, -0.46590764]], shape=(1001, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       ...,
       [-0.53068807, -1.80630302, -0.23044374, ..., -0.11300409,
        -0.20637203, -0.9475609 ],
       [-0.53068807, -1.80630302, -0.23044374, ..., -0.11300409,
        -0.20637203, -0.9475609 ],
       [-0.53068807, -1.80630301, -0.23044374, ..., -0.11300409,
        -0.20637203, -0.9475609 ]], shape=(1001, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       ...,
       [-0.84355889, -0.73974351, -1.88587326, ..., -1.24253352,
        -1.62659673, -1.90264535],
       [-0.84355889, -0.73974351, -1.88587326, ..., -1.24253352,
        -1.62659673, -1.90264535],
       [-0.84355889, -0.73974351, -1.88587326, ..., -1.24253352,
        -1.62659673, -1.90264535]], shape=(1001, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       ...,
       [-0.94049133, -0.81145168, -1.04155244, ..., -0.92028739,
        -0.89182593, -1.36342878],
       [-0.94049133, -0.81145168, -1.04155244, ..., -0.92028739,
        -0.89182593, -1.36342878],
       [-0.94049133, -0.81145168, -1.04155244, ..., -0.92028739,
        -0.89182593, -1.36342878]], shape=(1001, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       ...,
       [-1.65171381, -0.87745376, -0.14610047, ..., -1.04950324,
        -0.96421718, -0.76139401],
       [-1.65171381, -0.87745376, -0.14610047, ..., -1.04950324,
        -0.96421718, -0.76139401],
       [-1.65171381, -0.87745376, -0.14610047, ..., -1.04950324,
        -0.96421718, -0.76139401]], shape=(1001, 100000))]"
3,100000,adaptive,4,1.7405012400092049e-06,2.094901990890503,1.7402247979615747e-13,15.4,True,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.60491591, -0.85317446, -1.29229538, ..., -0.9378739 ,
        -1.31275091, -0.71543257],
       [-0.60491493, -0.85316806, -1.29226198, ..., -0.93786248,
        -1.31271206, -0.71542104],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(23, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.83147718, -1.32724349, -1.10617694, ..., -0.1507551 ,
        -0.38319215, -0.66582505],
       [-0.71555455, -0.95726199, -0.8968052 , ..., -0.99637795,
        -0.79801383, -0.56004847],
       ...,
       [-0.5707612 , -0.68191013, -0.70248601, ..., -0.66579754,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579753,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(14, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.73167104, -0.9443803 , -1.41421347, ..., -1.00066783,
        -1.28094467, -1.29841195],
       [-0.63588253, -0.83831313, -1.0348261 , ..., -0.83210328,
        -0.95012595, -0.83996137],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603532, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.77968719, -0.83935873, -0.90037709, ..., -0.82767927,
        -0.89565093, -0.96014085],
       [-0.63687205, -0.75067956, -0.77912314, ..., -0.7357144 ,
        -0.75440866, -0.64372869],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.1827795 , -0.95825715, -1.17083638, ..., -0.91679784,
        -0.86178558, -0.64416781],
       [-0.82195309, -0.86237577, -0.92914333, ..., -0.76863768,
        -0.71084521, -0.50563669],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(15, 100000))]"
4,100000,adaptive,8,1.970820562038172e-06,2.9054542064666746,1.9785465344332703e-13,20.0,True,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62065855, -0.65675372, -1.64159712, ..., -0.17434384,
        -1.69560998, -0.50441432],
       [-0.61179616, -0.70350795, -1.52724431, ..., -0.24214714,
        -1.50657796, -0.55072158],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(19, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.56974255, -1.6202284 , -0.30968535, ..., -0.10832628,
        -0.22691447, -0.89380933],
       [-0.60399119, -1.46494941, -0.37108514, ..., -0.10481082,
        -0.24607166, -0.84227496],
       ...,
       [-0.5707612 , -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(21, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.8209689 , -0.78454603, -1.76121526, ..., -1.20097796,
        -1.56923729, -1.73183124],
       [-0.79986971, -0.82375067, -1.64490837, ..., -1.15991966,
        -1.50791765, -1.56374795],
       ...,
       [-0.57076119, -0.68191012, -0.70248602, ..., -0.66579754,
        -0.59603535, -0.41641233],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603532, -0.41641231],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(23, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.91897625, -0.8223474 , -1.01887907, ..., -0.90789645,
        -0.90584275, -1.29261305],
       [-0.88796749, -0.83549362, -0.98899538, ..., -0.89037079,
        -0.91980149, -1.19843891],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(20, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.52667584, -0.87738178, -0.20741126, ..., -1.03333888,
        -0.95637581, -0.74850524],
       [-1.41001693, -0.87396886, -0.27505895, ..., -1.01472702,
        -0.94636769, -0.73361661],
       ...,
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ],
       [-0.57076119, -0.68191013, -0.70248602, ..., -0.66579752,
        -0.59603531, -0.4164123 ]], shape=(22, 100000))]"
5,100000,adaptive,12,14243.846027525855,122.71571731567383,1054285.4484716991,1000.0,False,"[array([[-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       [-0.62816125, -0.62344548, -1.73715769, ..., -0.13173782,
        -1.86389377, -0.46590723],
       ...,
       [-0.62816117, -0.62344584, -1.73715655, ..., -0.13173832,
        -1.86389168, -0.46590768],
       [-0.62816117, -0.62344585, -1.73715655, ..., -0.13173832,
        -1.86389168, -0.46590768],
       [-0.62816117, -0.62344585, -1.73715655, ..., -0.13173832,
        -1.86389167, -0.46590768]], shape=(1001, 100000)), array([[-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       [-0.53068771, -1.80630478, -0.23044311, ..., -0.11300413,
        -0.20637188, -0.94756134],
       ...,
       [-0.5306881 , -1.80630284, -0.23044382, ..., -0.11300408,
        -0.20637205, -0.94756085],
       [-0.5306881 , -1.80630284, -0.23044382, ..., -0.11300408,
        -0.20637205, -0.94756085],
       [-0.5306881 , -1.80630283, -0.23044382, ..., -0.11300408,
        -0.20637205, -0.94756085]], shape=(1001, 100000)), array([[-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       [-0.84355908, -0.73974313, -1.88587439, ..., -1.24253385,
        -1.62659711, -1.90264697],
       ...,
       [-0.84355888, -0.73974353, -1.88587318, ..., -1.2425335 ,
        -1.6265967 , -1.90264524],
       [-0.84355888, -0.73974353, -1.88587318, ..., -1.2425335 ,
        -1.6265967 , -1.90264523],
       [-0.84355888, -0.73974353, -1.88587318, ..., -1.2425335 ,
        -1.6265967 , -1.90264523]], shape=(1001, 100000)), array([[-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342959],
       [-0.94049154, -0.81145156, -1.04155268, ..., -0.92028752,
        -0.89182577, -1.36342958],
       ...,
       [-0.94049131, -0.81145169, -1.04155242, ..., -0.92028738,
        -0.89182595, -1.36342872],
       [-0.94049131, -0.81145169, -1.04155242, ..., -0.92028738,
        -0.89182595, -1.36342872],
       [-0.94049131, -0.81145169, -1.04155242, ..., -0.92028738,
        -0.89182595, -1.36342871]], shape=(1001, 100000)), array([[-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       [-1.65171491, -0.87745373, -0.14610001, ..., -1.04950337,
        -0.96421723, -0.76139411],
       ...,
       [-1.65171369, -0.87745377, -0.14610052, ..., -1.04950323,
        -0.96421717, -0.761394  ],
       [-1.65171368, -0.87745377, -0.14610052, ..., -1.04950323,
        -0.96421717, -0.761394  ],
       [-1.65171368, -0.87745377, -0.14610052, ..., -1.04950323,
        -0.96421717, -0.761394  ]], shape=(1001, 100000))]"
