,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,paths
0,Newton Random Points,1e-06,2,0.014024639129638672,12.4,True,1.099087316266516e-14,5.374511080384808e-07,1.1545246197979595,"[[array([-1.5996328 , -0.76022539]), array([-0.9652401 , -0.45418831]), array([-0.59305706, -0.33568205]), array([-0.44158732, -0.33998599]), array([-0.4411613 , -0.37860703]), array([-0.45398432, -0.38765067]), array([-0.45392658, -0.3858218 ]), array([-0.45328807, -0.38531378]), array([-0.45325711, -0.38537938]), array([-0.45328771, -0.38540836]), array([-0.4532908 , -0.38540651]), array([-0.45328942, -0.38540496]), array([-0.45328919, -0.38540497]), array([-0.45328925, -0.38540505])], [array([-1.02365334, -0.29381177]), array([-0.60692417, -0.29234433]), array([-0.43823224, -0.33249286]), array([-0.43977496, -0.37850244]), array([-0.45434082, -0.38811314]), array([-0.45400845, -0.38583865]), array([-0.45327499, -0.38529161]), array([-0.45325231, -0.38537738]), array([-0.45328813, -0.38540937]), array([-0.45329107, -0.38540666]), array([-0.45328941, -0.38540492]), array([-0.45328918, -0.38540496]), array([-0.45328925, -0.38540505])], [array([-0.69052661, -0.05081016]), array([-0.57427206, -0.68087788]), array([-0.55727035, -0.48616626]), array([-0.47826635, -0.39448859]), array([-0.45170226, -0.38031778]), array([-0.45186895, -0.38450358]), array([-0.45330649, -0.38561992]), array([-0.45336161, -0.38546078]), array([-0.45329205, -0.38539705]), array([-0.45328576, -0.38540184]), array([-0.45328895, -0.38540529]), array([-0.45328942, -0.38540523]), array([-0.45328929, -0.38540505])], [array([-1.57400677, -0.19162456]), array([-0.91846532, -0.27651108]), array([-0.55483926, -0.29907577]), array([-0.42954619, -0.3426038 ]), array([-0.44512119, -0.38349354]), array([-0.45466204, -0.38762363]), array([-0.45375858, -0.38559094]), array([-0.45324527, -0.38530311]), array([-0.45326339, -0.38539049]), array([-0.45329018, -0.38540945]), array([-0.45329061, -0.38540601]), array([-0.45328929, -0.38540488]), array([-0.4532892, -0.385405 ])], [array([-0.98119634, -1.43899706]), array([-0.8621672 , -0.89090012]), array([-0.65536514, -0.56495234]), array([-0.51223956, -0.41275598]), array([-0.4544356 , -0.37696012]), array([-0.45008425, -0.38268305]), array([-0.45309301, -0.38570369]), array([-0.45344181, -0.38555542]), array([-0.45330684, -0.38539758]), array([-0.45328247, -0.3853971 ]), array([-0.45328804, -0.38540503]), array([-0.45328954, -0.38540545]), array([-0.45328934, -0.38540507]), array([-0.45328925, -0.38540503])]]"
1,Newton Random Points,1e-06,1000,0.04154024124145508,20.6,True,1.272469276048603e-13,2.1692223805686753e-06,0.9993046879186064,"[[np.float64(15.668715100427137), np.float64(8.404552260301093), np.float64(6.877627070348058), np.float64(3.5495673392474743), np.float64(1.5378828355048662), np.float64(0.6616120298075112), np.float64(0.2621202415834242), np.float64(0.08783561568697995), np.float64(0.0288462106322626), np.float64(0.010421749296943674), np.float64(0.0038898178316506215), np.float64(0.0014649261958747492), np.float64(0.0005551346910479488), np.float64(0.00021144302690805024), np.float64(8.081126832953843e-05), np.float64(3.0981589571907144e-05), np.float64(1.1900846412721549e-05), np.float64(4.580984835688175e-06), np.float64(1.7657611393716256e-06), np.float64(6.815520988648554e-07), np.float64(2.6337106828142984e-07)], [np.float64(15.972196385123443), np.float64(8.129140384670638), np.float64(5.67390264936335), np.float64(2.6167609808491075), np.float64(1.0117125603072545), np.float64(0.36268378564378356), np.float64(0.1180268797707632), np.float64(0.04022201843413067), np.float64(0.014676454601240375), np.float64(0.00547703500789822), np.float64(0.0020609786636649904), np.float64(0.0007801771725000606), np.float64(0.00029672852113845125), np.float64(0.00011323483784116036), np.float64(4.333949690282043e-05), np.float64(1.6622034942241637e-05), np.float64(6.387548535757361e-06), np.float64(2.4583044684743642e-06), np.float64(9.473560516835464e-07), np.float64(3.655079388402526e-07)], [np.float64(16.739148974750776), np.float64(11.18875280618644), np.float64(6.0656146413651975), np.float64(3.0201021729356814), np.float64(1.3796668082411239), np.float64(0.6206948439960787), np.float64(0.23421356096956022), np.float64(0.07483561934438682), np.float64(0.025181487713202257), np.float64(0.00919056343291612), np.float64(0.0034273043332378604), np.float64(0.0012879528169109748), np.float64(0.00048697612029026605), np.float64(0.00018500349877409493), np.float64(7.05481394391465e-05), np.float64(2.6975539184347264e-05), np.float64(1.0341016408957582e-05), np.float64(3.970934166447435e-06), np.float64(1.5277803564260842e-06), np.float64(5.884752830837749e-07), np.float64(2.269974621746068e-07)], [np.float64(16.70941787582188), np.float64(8.195588299973547), np.float64(5.959503155968693), np.float64(2.7368681647037802), np.float64(1.0542567933376783), np.float64(0.3872884065696362), np.float64(0.12913799260264136), np.float64(0.04314310134068213), np.float64(0.015603472755537019), np.float64(0.00580506581862942), np.float64(0.0021833358130773617), np.float64(0.00082667200224593), np.float64(0.0003144679401733898), np.float64(0.0001200991371497724), np.float64(4.604391513462665e-05), np.float64(1.7655676830839414e-05), np.float64(6.806567187922503e-06), np.float64(2.617293446028213e-06), np.float64(1.011830954920495e-06), np.float64(3.9051214968417417e-07)], [np.float64(11.863511966539626), np.float64(11.181453654081036), np.float64(6.164786076159248), np.float64(2.9675895931564673), np.float64(1.2040841784992453), np.float64(0.5049287421028187), np.float64(0.17885211716256574), np.float64(0.05716792747757802), np.float64(0.020062333455414715), np.float64(0.0074097907722949115), np.float64(0.0027708821374920227), np.float64(0.0010432947292076918), np.float64(0.00039492147043142256), np.float64(0.00015013031790517023), np.float64(5.725682052535448e-05), np.float64(2.1892457148239182e-05), np.float64(8.38907685974742e-06), np.float64(3.220266041305519e-06), np.float64(1.238141989941236e-06), np.float64(4.7665778643916223e-07), np.float64(1.8373026688593236e-07)]]"
2,Newton Random Points,1e-06,10000,0.15776047706604004,21.4,True,3.208643015973291e-13,3.0859269205499495e-06,0.9988298654287322,"[[np.float64(45.36427735388326), np.float64(24.92580547178335), np.float64(16.94973160590901), np.float64(8.49155810452294), np.float64(3.070549750417721), np.float64(1.3181153659566403), np.float64(0.6705088171759679), np.float64(0.3252428318511922), np.float64(0.12088353774226701), np.float64(0.0370775181218665), np.float64(0.012674411280795732), np.float64(0.004666975790368127), np.float64(0.0017468296977171934), np.float64(0.0006584814114736723), np.float64(0.00024969808731125444), np.float64(9.511566324107704e-05), np.float64(3.635434203636731e-05), np.float64(1.3931725299875555e-05), np.float64(5.350344455642397e-06), np.float64(2.058410983682195e-06), np.float64(7.931039682319231e-07), np.float64(3.059759501503215e-07)], [np.float64(44.33450263304756), np.float64(24.660792540320763), np.float64(16.85967897723807), np.float64(7.294584098206154), np.float64(2.447146406128954), np.float64(0.8244355900995931), np.float64(0.28524444132930743), np.float64(0.09981651089674179), np.float64(0.03656738796281852), np.float64(0.01368850791911156), np.float64(0.005163835844294847), np.float64(0.001958608345161975), np.float64(0.0007458618388513328), np.float64(0.00028498449841957857), np.float64(0.00010916485820393336), np.float64(4.190413993374043e-05), np.float64(1.6114767512553504e-05), np.float64(6.205843041698515e-06), np.float64(2.393278604450443e-06), np.float64(9.238787620903091e-07), np.float64(3.570461043737825e-07)], [np.float64(43.78712055307436), np.float64(24.27062917711786), np.float64(18.250481562420347), np.float64(7.6875785327749036), np.float64(2.87602155123987), np.float64(1.3348798583202481), np.float64(0.7375021509126415), np.float64(0.3912260162290909), np.float64(0.16253927248741115), np.float64(0.05107873288673756), np.float64(0.016615809949128778), np.float64(0.006022596844266528), np.float64(0.0022448835565291284), np.float64(0.0008436550426681565), np.float64(0.00031909779630345195), np.float64(0.0001213143121861281), np.float64(4.6298059006278084e-05), np.float64(1.7720651498971707e-05), np.float64(6.7986612675346404e-06), np.float64(2.6134017979112985e-06), np.float64(1.0062310246090837e-06), np.float64(3.8796273125602343e-07), np.float64(1.4976116848576708e-07)], [np.float64(47.668389540992465), np.float64(25.089616666224416), np.float64(17.608248561273626), np.float64(7.772102158580602), np.float64(2.745824666431866), np.float64(0.955159312405633), np.float64(0.32798194909953016), np.float64(0.11347657153030416), np.float64(0.04128272247797197), np.float64(0.015430908878194986), np.float64(0.005821334454679115), np.float64(0.0022083448745514773), np.float64(0.0008414584611280955), np.float64(0.00032167498515051497), np.float64(0.00012331164536202462), np.float64(4.736663398879819e-05), np.float64(1.8228227737232646e-05), np.float64(7.025186356630429e-06), np.float64(2.710878942985663e-06), np.float64(1.0473314100111185e-06), np.float64(4.0496805634830555e-07)], [np.float64(42.340188364758234), np.float64(24.128385578805467), np.float64(16.70254076776253), np.float64(7.048292962599021), np.float64(2.256179750581978), np.float64(0.768288888821135), np.float64(0.269384303331636), np.float64(0.09307354444246838), np.float64(0.03393279122077326), np.float64(0.012676522643109561), np.float64(0.004777414182500161), np.float64(0.0018105675834016832), np.float64(0.0006891947499020968), np.float64(0.00026323459380365495), np.float64(0.00010080901708661408), np.float64(3.8690573307913225e-05), np.float64(1.487621506165156e-05), np.float64(5.728610526677572e-06), np.float64(2.2089141923642872e-06), np.float64(8.527126742464465e-07)]]"
3,Newton Random Points,1e-06,100000,2.2015772819519044,21.0,True,3.948146370007972e-12,1.0161552722370453e-05,0.9989667936182569,"[[np.float64(134.32200913054874), np.float64(77.33827128057986), np.float64(43.85871706105127), np.float64(26.715153292123812), np.float64(7.971952373391458), np.float64(2.3005889711110292), np.float64(0.8440572064162405), np.float64(0.31949300208235365), np.float64(0.11360895279897049), np.float64(0.041145239260156036), np.float64(0.015395135172271457), np.float64(0.0058240600371794), np.float64(0.0022147655323001415), np.float64(0.0008454426092172406), np.float64(0.00032373113273334077), np.float64(0.0001242564092154495), np.float64(4.7787799526711135e-05), np.float64(1.840846921087713e-05), np.float64(7.100959003743613e-06), np.float64(2.742446247666411e-06), np.float64(1.0602133419235508e-06), np.float64(4.1025582634386173e-07)], [np.float64(130.07058137918781), np.float64(76.52448770714486), np.float64(43.141199577137364), np.float64(26.15992223844113), np.float64(7.581366376997282), np.float64(2.0811953281110798), np.float64(0.7124400246854289), np.float64(0.2591275824408674), np.float64(0.09634765432852885), np.float64(0.0361910209089061), np.float64(0.013685348401559397), np.float64(0.005200617264112792), np.float64(0.001983762036473513), np.float64(0.0007589315648468673), np.float64(0.0002910360904745782), np.float64(0.0001118265012304848), np.float64(4.303844865294346e-05), np.float64(1.6587539161965107e-05), np.float64(6.4007786821372635e-06), np.float64(2.472555686756282e-06)], [np.float64(133.10291892615538), np.float64(77.18751197363193), np.float64(47.80366302712527), np.float64(24.435124150349708), np.float64(7.300988746138399), np.float64(2.25376873696146), np.float64(0.8460675906209735), np.float64(0.32258778003454214), np.float64(0.11384327305787663), np.float64(0.04109796745024947), np.float64(0.01539650459580849), np.float64(0.005829030357766265), np.float64(0.002217247834512684), np.float64(0.0008465023612838702), np.float64(0.0003241264455390312), np.float64(0.00012439694254053017), np.float64(4.78323594196519e-05), np.float64(1.8421363848891224e-05), np.float64(7.103999178131404e-06), np.float64(2.742763234891129e-06), np.float64(1.0600130534248828e-06), np.float64(4.1003430024073386e-07)], [np.float64(131.4100493650334), np.float64(76.65327531923661), np.float64(47.51278506229694), np.float64(24.222581571882237), np.float64(7.113786686638098), np.float64(2.1398541930857933), np.float64(0.768295004712487), np.float64(0.2781640129715949), np.float64(0.10105661395901809), np.float64(0.037695654803589086), np.float64(0.014234427861608476), np.float64(0.005405419817081885), np.float64(0.002060920542120723), np.float64(0.0007882650023748179), np.float64(0.00030226136409705005), np.float64(0.00011614161419254586), np.float64(4.4702898964166284e-05), np.float64(1.7231202444981285e-05), np.float64(6.650205364719213e-06), np.float64(2.569365881884193e-06), np.float64(9.936375317483682e-07)], [np.float64(133.0515829741028), np.float64(77.14010634945676), np.float64(43.63322291277516), np.float64(26.56209352401515), np.float64(7.8425158399024815), np.float64(2.180985237057821), np.float64(0.7411023173959623), np.float64(0.2686910438295502), np.float64(0.09982852244548149), np.float64(0.03748358297377208), np.float64(0.014168738331165014), np.float64(0.005382546411628606), np.float64(0.002052566547572547), np.float64(0.0007850612077748106), np.float64(0.0003009931082974474), np.float64(0.00011563116142400718), np.float64(4.449617130509411e-05), np.float64(1.7147122665216e-05), np.float64(6.616039662974446e-06), np.float64(2.5554856975853117e-06)]]"
