,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,paths
0,Truncated Newton Random Points,1e-06,2,0.009948396682739257,12.8,True,1.546474021495788e-14,6.844572051880629e-07,1.3570031358488954,"[array([[-1.5996328 , -0.76022539],
       [-1.03684005, -0.7796406 ],
       [-0.68712021, -0.6381084 ],
       [-0.60771615, -0.44790975],
       [-0.50715354, -0.44815856],
       [-0.46711522, -0.39084447],
       [-0.45229902, -0.38257141],
       [-0.45151726, -0.38409337],
       [-0.45324527, -0.38562091],
       [-0.45337869, -0.38548358],
       [-0.45329614, -0.38539791],
       [-0.45328511, -0.38540074],
       [-0.45328871, -0.38540519],
       [-0.45328944, -0.38540528],
       [-0.4532893 , -0.38540506]]), array([[-1.02365334, -0.29381177],
       [-0.64237999, -0.40021263],
       [-0.51354667, -0.43530886],
       [-0.4608444 , -0.38585279],
       [-0.45530232, -0.38768626],
       [-0.45363311, -0.38539911],
       [-0.45320649, -0.3852897 ],
       [-0.45326776, -0.3853995 ],
       [-0.45329235, -0.38541058],
       [-0.4532905 , -0.38540561],
       [-0.45328917, -0.3854048 ],
       [-0.4532892 , -0.38540501]]), array([[-0.69052661, -0.05081016],
       [-0.38975031, -0.19607552],
       [-0.32733358, -0.29299406],
       [-0.48888385, -0.4324539 ],
       [-0.46364377, -0.38990892],
       [-0.4526372 , -0.38337492],
       [-0.45204333, -0.38446935],
       [-0.45325247, -0.3855521 ],
       [-0.45334782, -0.38545689],
       [-0.45329391, -0.3854005 ],
       [-0.45328655, -0.38540221],
       [-0.45328889, -0.38540514],
       [-0.45328938, -0.3854052 ],
       [-0.45328929, -0.38540505]]), array([[-1.57400677, -0.19162456],
       [-0.92618008, -0.31604248],
       [-0.60176557, -0.41269485],
       [-0.50288143, -0.43351456],
       [-0.46224989, -0.38652325],
       [-0.45581808, -0.38834839],
       [-0.45375107, -0.38542285],
       [-0.45318736, -0.38525754],
       [-0.45326084, -0.38539665],
       [-0.45329297, -0.38541206],
       [-0.45329088, -0.38540583],
       [-0.45328916, -0.38540474],
       [-0.45328918, -0.385405  ],
       [-0.45328926, -0.38540506]]), array([[-0.98119634, -1.43899706],
       [-1.03615951, -0.93619851],
       [-0.73502999, -0.56787908],
       [-0.52918825, -0.40389978],
       [-0.47774203, -0.41284549],
       [-0.45822276, -0.38629466],
       [-0.45249151, -0.38404852],
       [-0.45299624, -0.38528372],
       [-0.45331525, -0.38546742],
       [-0.45330532, -0.38541428],
       [-0.45328876, -0.38540238],
       [-0.45328843, -0.38540445],
       [-0.45328925, -0.38540516],
       [-0.45328931, -0.38540509]])]"
1,Truncated Newton Random Points,1e-06,1000,0.024609851837158202,24.0,True,1.3139137884089667e-14,8.276557747724784e-07,0.9962150553355469,"[[np.float64(10.429276302626844), np.float64(7.164664579413735), np.float64(5.115524596460917), np.float64(2.747373628634228), np.float64(1.4785134584967456), np.float64(0.7984116851687252), np.float64(0.4355191875031858), np.float64(0.2308146631218484), np.float64(0.12072137189096514), np.float64(0.0618487000412441), np.float64(0.03203371543299411), np.float64(0.016393893520536353), np.float64(0.008451122180585495), np.float64(0.006580834362245266), np.float64(0.0012096038583604002), np.float64(0.0004079530663360682), np.float64(0.00012399470145044378), np.float64(4.162252453772243e-05), np.float64(1.451852150201983e-05), np.float64(5.102672001498801e-06), np.float64(1.8222227646741737e-06), np.float64(6.57833242354523e-07), np.float64(2.38926722512267e-07), np.float64(8.730703419249847e-08)], [np.float64(10.167661502759822), np.float64(7.227553609449455), np.float64(5.180427538504786), np.float64(2.796299573101282), np.float64(1.4967078725084686), np.float64(0.833323069029824), np.float64(0.47261406589211297), np.float64(0.25601590996214757), np.float64(0.13605139507666061), np.float64(0.07021326260934829), np.float64(0.03625832538653758), np.float64(0.018514735450095188), np.float64(0.009543881660026529), np.float64(0.007344190673281408), np.float64(0.0014286068493999985), np.float64(0.00046244963967215837), np.float64(0.00014252686023045357), np.float64(4.757804583256407e-05), np.float64(1.6484040756198424e-05), np.float64(5.76766536028248e-06), np.float64(2.0461390283137252e-06), np.float64(7.349648460858402e-07), np.float64(2.659041639628826e-07), np.float64(9.655196731553023e-08)], [np.float64(10.668484324222572), np.float64(7.007906585889149), np.float64(5.095604161719214), np.float64(2.695722067784397), np.float64(1.4380125712698497), np.float64(0.8176262956323153), np.float64(0.47171591632001325), np.float64(0.2532517026720311), np.float64(0.13290380968351126), np.float64(0.06814362625808752), np.float64(0.03491697432607994), np.float64(0.017773046775516298), np.float64(0.009144803545885377), np.float64(0.007010603995116031), np.float64(0.0013700383971691715), np.float64(0.00045282055725111064), np.float64(0.00013792741545276755), np.float64(4.595643131801471e-05), np.float64(1.588402443208483e-05), np.float64(5.54756508545409e-06), np.float64(1.969845267060364e-06), np.float64(7.071139521797799e-07), np.float64(2.558072402023097e-07), np.float64(9.273385170408721e-08)], [np.float64(10.642974555345003), np.float64(7.213663653438453), np.float64(5.126134535213224), np.float64(2.796127833283894), np.float64(2.2940316599841073), np.float64(0.8055674076823874), np.float64(0.3914419365678518), np.float64(0.19966061680960343), np.float64(0.0989503222621015), np.float64(0.050139674331821704), np.float64(0.024892920319117405), np.float64(0.012728455208656647), np.float64(0.009351989527862486), np.float64(0.002027850200145499), np.float64(0.0006671888689149385), np.float64(0.0002528996363177559), np.float64(8.444503165126189e-05), np.float64(2.9477556322419097e-05), np.float64(1.0616670125958837e-05), np.float64(3.8911538654687836e-06), np.float64(1.4393768404419922e-06), np.float64(5.360590200414472e-07), np.float64(2.0091196505859183e-07), np.float64(7.537059102029825e-08)], [np.float64(10.053188307087959), np.float64(6.851239331267562), np.float64(5.001080828010726), np.float64(2.60770100541892), np.float64(1.43326938381501), np.float64(0.8161274390204548), np.float64(0.45897423122098735), np.float64(0.24444373373024203), np.float64(0.12817687638279787), np.float64(0.06577558571780859), np.float64(0.033936731654970916), np.float64(0.017361249421427017), np.float64(0.008959139609563564), np.float64(0.0069739802513272935), np.float64(0.0012920742858008227), np.float64(0.00042232233551369136), np.float64(0.00012678090275777818), np.float64(4.192275697105652e-05), np.float64(1.4426428291189378e-05), np.float64(5.0123891099788345e-06), np.float64(1.7726081395754377e-06), np.float64(6.335127077333392e-07), np.float64(2.2841478000364464e-07), np.float64(8.289266021312884e-08)]]"
2,Truncated Newton Random Points,1e-06,10000,0.069175386428833,26.0,True,9.073808606459592e-15,7.051472237767243e-07,0.9968424509255597,"[[np.float64(32.756562057046445), np.float64(22.458926595909894), np.float64(16.336333753846507), np.float64(8.698458723546592), np.float64(4.741402962134271), np.float64(2.6882466525312476), np.float64(1.5647681582632214), np.float64(1.5817975450898814), np.float64(0.4528164089939134), np.float64(0.20425832383656456), np.float64(0.10313258507275168), np.float64(0.04929250964960023), np.float64(0.024898031594497525), np.float64(0.012053152379256579), np.float64(0.0086171138568955), np.float64(0.0020937615903040226), np.float64(0.0006968412847601403), np.float64(0.0002637782069103025), np.float64(8.854388365901647e-05), np.float64(3.1644668699057116e-05), np.float64(1.1418299651093972e-05), np.float64(4.192234679662841e-06), np.float64(1.5525289550148818e-06), np.float64(5.788188598018091e-07), np.float64(2.1685426797322247e-07), np.float64(8.133616945513943e-08)], [np.float64(32.496803437898784), np.float64(22.22910093305736), np.float64(16.283037962689342), np.float64(8.742554257135435), np.float64(4.757484716328894), np.float64(2.6504801777065694), np.float64(1.5005587061928911), np.float64(0.819133523483799), np.float64(0.43749487956580874), np.float64(0.22766547890603855), np.float64(0.11793906279706118), np.float64(0.0605391585260353), np.float64(0.03123608491328958), np.float64(0.016063784912236645), np.float64(0.008320160215589373), np.float64(0.006555096512190845), np.float64(0.0011631806851867999), np.float64(0.00037346676719750803), np.float64(0.00011236719501390829), np.float64(3.68809317605088e-05), np.float64(1.2547042249034495e-05), np.float64(4.311787409223934e-06), np.float64(1.5053652892247612e-06), np.float64(5.308663935520613e-07), np.float64(1.8885793305109266e-07), np.float64(6.740992525698981e-08)], [np.float64(32.860841752876105), np.float64(22.373457955743312), np.float64(16.24077100371848), np.float64(8.713047131330013), np.float64(4.7446636638107345), np.float64(2.702597187805528), np.float64(1.5646840198832759), np.float64(0.8676465483290073), np.float64(0.4690659717320619), np.float64(0.24593915147185036), np.float64(0.12792942804205193), np.float64(0.06582388728438594), np.float64(0.03400779655756754), np.float64(0.01750821582490078), np.float64(0.009076112533117011), np.float64(0.007178581315398688), np.float64(0.001259914783959713), np.float64(0.0003812454094139514), np.float64(0.00013779029250512737), np.float64(4.3006323016640516e-05), np.float64(1.4449209413377344e-05), np.float64(4.939113812303746e-06), np.float64(1.7213577764095092e-06), np.float64(6.06674655127146e-07), np.float64(2.159214882179833e-07), np.float64(7.702964415645968e-08)], [np.float64(33.26153992914134), np.float64(22.50375568122541), np.float64(16.05223798188387), np.float64(8.627339437673198), np.float64(4.725050686018088), np.float64(2.701869233050035), np.float64(1.5613301264599038), np.float64(0.8547831737927368), np.float64(0.45591923238017934), np.float64(0.23676084143863982), np.float64(0.1225287714911159), np.float64(0.06290733451912205), np.float64(0.03249105237104333), np.float64(0.016721177428566682), np.float64(0.008667978344784636), np.float64(0.006843351151700455), np.float64(0.001196080020704872), np.float64(0.0003861920315747804), np.float64(0.00011557675966571428), np.float64(3.7863560562681864e-05), np.float64(1.2855279352217194e-05), np.float64(4.40767696263473e-06), np.float64(1.5352497225907645e-06), np.float64(5.40233336324224e-07), np.float64(1.9178523737283365e-07), np.float64(6.839681585956242e-08)], [np.float64(32.813956993449445), np.float64(22.42037595494209), np.float64(16.263826766779335), np.float64(8.595126308157235), np.float64(4.571971582257176), np.float64(2.5231955410480005), np.float64(1.4158398919904844), np.float64(0.767295622193904), np.float64(0.40999674733192765), np.float64(0.21457922229682866), np.float64(0.11181446118048582), np.float64(0.05773219772471326), np.float64(0.029905694446956767), np.float64(0.015432790951606334), np.float64(0.008008392466313009), np.float64(0.006340332484694951), np.float64(0.0011050829372797547), np.float64(0.0003529913743633094), np.float64(0.00010561938949120496), np.float64(3.459505563799295e-05), np.float64(1.1749812022234967e-05), np.float64(4.029152113389154e-06), np.float64(1.4039410645378734e-06), np.float64(4.942473455009203e-07), np.float64(1.7558546592350013e-07), np.float64(6.268473015153283e-08)]]"
3,Truncated Newton Random Points,1e-06,100000,1.2639113903045653,27.8,True,8.081915608849927e-15,6.609654473335912e-07,1.0079652380760704,"[[np.float64(104.00549931624892), np.float64(70.7988347788647), np.float64(51.52377818899742), np.float64(27.56729357889851), np.float64(14.861378674391627), np.float64(8.34642885215223), np.float64(4.798930196814496), np.float64(2.6815700344866986), np.float64(1.4725322899046136), np.float64(0.7846793188697789), np.float64(0.41238510640080833), np.float64(0.21337595081921104), np.float64(0.1104287591228794), np.float64(0.056871240599034076), np.float64(0.029447305553256534), np.float64(0.015214312099299607), np.float64(0.007907021221643756), np.float64(0.0063061139395892245), np.float64(0.0010622148955464208), np.float64(0.0003357058212744967), np.float64(9.995580569096273e-05), np.float64(3.2447318072017275e-05), np.float64(1.0889561355833662e-05), np.float64(3.6915873336847656e-06), np.float64(1.269785976347249e-06), np.float64(4.409753402462817e-07), np.float64(1.5447072932001456e-07), np.float64(5.3521419594837845e-08)], [np.float64(103.51187042920003), np.float64(70.74073196160786), np.float64(51.465711366953975), np.float64(27.422444957988844), np.float64(14.770299948318348), np.float64(8.252943025525447), np.float64(7.422676216095133), np.float64(1.996564492599595), np.float64(1.03456752095816), np.float64(0.5285539318200486), np.float64(0.27439836905148096), np.float64(0.13780468254458575), np.float64(0.07069713376147545), np.float64(0.03548312801468798), np.float64(0.01827065019239973), np.float64(0.009238059435040816), np.float64(0.0070837939679120835), np.float64(0.0014106028605426464), np.float64(0.0004685353684968509), np.float64(0.0001455944624151468), np.float64(4.903257385876164e-05), np.float64(1.709927840851718e-05), np.float64(6.010392306166416e-06), np.float64(2.144946531466812e-06), np.float64(7.726797764209459e-07), np.float64(2.80401984971382e-07), np.float64(1.0183121026756245e-07)], [np.float64(104.04282439268006), np.float64(70.97388891081823), np.float64(51.442665208930215), np.float64(27.433185269682), np.float64(14.792250417778382), np.float64(8.280901407633984), np.float64(4.728030948609194), np.float64(2.616322834338134), np.float64(1.4230165048064798), np.float64(0.7532838913602244), np.float64(0.39469931993437296), np.float64(0.20400627687235914), np.float64(0.10557414140690805), np.float64(0.05437493677390689), np.float64(0.02816345419423129), np.float64(0.014552689212397147), np.float64(0.007565391784656361), np.float64(0.006027454345086511), np.float64(0.001017074195121694), np.float64(0.0003223558239638983), np.float64(9.61980763734955e-05), np.float64(3.128474772304124e-05), np.float64(1.0514958026460047e-05), np.float64(3.568972257558101e-06), np.float64(1.2287637092451419e-06), np.float64(4.2705709202944827e-07), np.float64(1.4967328882758333e-07), np.float64(5.1943396978171744e-08)], [np.float64(103.93008285290074), np.float64(71.02743447757193), np.float64(51.20430655633126), np.float64(27.42383029386682), np.float64(14.801112262314168), np.float64(8.293970923290821), np.float64(4.750362210820416), np.float64(2.6430296571906013), np.float64(1.4464970307930585), np.float64(0.7687161988689443), np.float64(0.4036096039849901), np.float64(0.20879421086464417), np.float64(0.10813143747378391), np.float64(0.05572563108992907), np.float64(0.02888375339174125), np.float64(0.014933862509224589), np.float64(0.007768549783344354), np.float64(0.006205815610722565), np.float64(0.0010342193428233924), np.float64(0.00032773431578169657), np.float64(9.765458643548437e-05), np.float64(3.171640295259334e-05), np.float64(1.0645025333873768e-05), np.float64(3.60805324063163e-06), np.float64(1.24061290530012e-06), np.float64(4.3067185139364085e-07), np.float64(1.5078754453832591e-07), np.float64(5.2282430937872264e-08)], [np.float64(104.03246922695809), np.float64(70.76080149917134), np.float64(51.339384257155665), np.float64(27.551487195756216), np.float64(14.901094510759252), np.float64(8.37653119457028), np.float64(4.803361656038921), np.float64(2.665163603507132), np.float64(1.4580482423139027), np.float64(0.7777916344629064), np.float64(0.41021163438061703), np.float64(0.21283333927484824), np.float64(0.1103546488396552), np.float64(0.0568662085781255), np.float64(0.029457216566700268), np.float64(0.015216859117503461), np.float64(0.007909410823857412), np.float64(0.006299897223966241), np.float64(0.0010703842024478588), np.float64(0.0003376153756092044), np.float64(0.00010112566933307668), np.float64(3.2929979612847806e-05), np.float64(1.1080744179818641e-05), np.float64(3.7661430409321548e-06), np.float64(1.29878513898801e-06), np.float64(4.52206681267821e-07), np.float64(1.5881002604995178e-07), np.float64(5.5107442650311246e-08)]]"
